Episode,System_Avg_Reward,Rolling_100_Avg
1,-164.53,-164.53
2,-184.30,-174.41
3,-208.72,-185.85
4,-174.50,-183.01
5,-192.26,-184.86
6,-203.30,-187.94
7,-279.51,-201.02
8,-269.84,-209.62
9,-234.56,-212.39
10,-233.57,-214.51
11,-176.02,-211.01
12,-151.76,-206.07
13,-218.35,-207.02
14,-179.76,-205.07
15,-158.87,-201.99
16,-190.52,-201.27
17,-170.41,-199.46
18,-204.65,-199.75
19,-167.90,-198.07
20,-193.68,-197.85
21,-215.93,-198.71
22,-201.67,-198.85
23,-188.13,-198.38
24,-183.43,-197.76
25,-196.55,-197.71
26,-214.05,-198.34
27,-190.13,-198.03
28,-161.31,-196.72
29,-215.01,-197.35
30,-172.76,-196.53
31,-160.08,-195.36
32,-183.65,-194.99
33,-164.61,-194.07
34,-149.89,-192.77
35,-142.33,-191.33
36,-151.17,-190.21
37,-150.91,-189.15
38,-213.88,-189.80
39,-147.61,-188.72
40,-158.19,-187.96
41,-188.57,-187.97
42,-174.56,-187.65
43,-173.61,-187.33
44,-186.08,-187.30
45,-156.52,-186.61
46,-141.14,-185.63
47,-164.69,-185.18
48,-171.92,-184.90
49,-163.72,-184.47
50,-155.49,-183.89
51,-148.16,-183.19
52,-154.84,-182.65
53,-122.87,-181.52
54,-161.85,-181.15
55,-184.24,-181.21
56,-168.06,-180.98
57,-170.63,-180.79
58,-178.58,-180.76
59,-154.55,-180.31
60,-130.38,-179.48
61,-199.16,-179.80
62,-132.89,-179.05
63,-176.39,-179.00
64,-149.23,-178.54
65,-133.30,-177.84
66,-193.89,-178.09
67,-165.91,-177.90
68,-193.25,-178.13
69,-141.02,-177.59
70,-145.51,-177.13
71,-171.26,-177.05
72,-169.65,-176.95
73,-126.38,-176.25
74,-150.05,-175.90
75,-136.78,-175.38
76,-136.10,-174.86
77,-151.75,-174.56
78,-154.97,-174.31
79,-166.63,-174.21
80,-145.47,-173.85
81,-169.83,-173.80
82,-144.27,-173.44
83,-152.44,-173.19
84,-140.65,-172.80
85,-184.01,-172.94
86,-167.92,-172.88
87,-130.17,-172.39
88,-152.43,-172.16
89,-118.25,-171.55
90,-159.43,-171.42
91,-131.48,-170.98
92,-143.09,-170.68
93,-147.31,-170.43
94,-135.02,-170.05
95,-119.69,-169.52
96,-170.83,-169.53
97,-163.21,-169.47
98,-121.62,-168.98
99,-149.55,-168.78
100,-131.54,-168.41
101,-174.64,-168.51
102,-151.88,-168.19
103,-115.36,-167.25
104,-112.05,-166.63
105,-123.98,-165.95
106,-133.01,-165.24
107,-134.89,-163.80
108,-104.61,-162.15
109,-134.93,-161.15
110,-108.82,-159.90
111,-166.18,-159.80
112,-140.52,-159.69
113,-99.99,-158.51
114,-194.61,-158.66
115,-134.35,-158.41
116,-144.05,-157.95
117,-129.81,-157.54
118,-160.53,-157.10
119,-110.61,-156.53
120,-201.54,-156.60
121,-117.54,-155.62
122,-141.18,-155.02
123,-124.75,-154.38
124,-325.65,-155.80
125,-221.71,-156.06
126,-140.84,-155.32
127,-96.44,-154.39
128,-140.67,-154.18
129,-150.49,-153.53
130,-155.49,-153.36
131,-126.98,-153.03
132,-133.44,-152.53
133,-138.04,-152.26
134,-118.29,-151.95
135,-107.84,-151.60
136,-144.20,-151.53
137,-140.57,-151.43
138,-105.10,-150.34
139,-145.35,-150.32
140,-110.65,-149.84
141,-99.88,-148.96
142,-134.89,-148.56
143,-88.66,-147.71
144,-107.91,-146.93
145,-144.32,-146.81
146,-103.68,-146.43
147,-117.22,-145.96
148,-117.47,-145.41
149,-193.36,-145.71
150,-200.32,-146.16
151,-145.68,-146.13
152,-168.70,-146.27
153,-115.52,-146.20
154,-149.79,-146.08
155,-110.39,-145.34
156,-133.63,-144.99
157,-100.19,-144.29
158,-93.01,-143.43
159,-144.91,-143.34
160,-189.40,-143.93
161,-105.18,-142.99
162,-99.93,-142.66
163,-105.60,-141.95
164,-126.26,-141.72
165,-164.69,-142.04
166,-130.70,-141.40
167,-132.12,-141.07
168,-91.75,-140.05
169,-106.17,-139.70
170,-108.43,-139.33
171,-127.86,-138.90
172,-132.50,-138.53
173,-127.44,-138.54
174,-122.17,-138.26
175,-231.91,-139.21
176,-143.44,-139.28
177,-124.25,-139.01
178,-167.05,-139.13
179,-132.52,-138.79
180,-132.26,-138.65
181,-90.50,-137.86
182,-115.79,-137.58
183,-106.84,-137.12
184,-128.31,-137.00
185,-156.21,-136.72
186,-80.50,-135.85
187,-67.93,-135.22
188,-85.34,-134.55
189,-95.77,-134.33
190,-105.68,-133.79
191,-109.84,-133.57
192,-114.03,-133.28
193,-96.51,-132.77
194,-93.84,-132.36
195,-103.10,-132.20
196,-83.27,-131.32
197,-100.74,-130.70
198,-82.02,-130.30
199,-104.00,-129.84
200,-100.46,-129.53
201,-108.11,-128.87
202,-97.01,-128.32
203,-125.97,-128.43
204,-133.03,-128.64
205,-107.36,-128.47
206,-82.15,-127.96
207,-117.67,-127.79
208,-88.21,-127.63
209,-99.22,-127.27
210,-139.32,-127.57
211,-103.22,-126.94
212,-135.29,-126.89
213,-116.71,-127.06
214,-72.78,-125.84
215,-138.60,-125.88
216,-109.58,-125.54
217,-128.95,-125.53
218,-104.30,-124.97
219,-124.48,-125.11
220,-107.34,-124.16
221,-81.84,-123.81
222,-85.45,-123.25
223,-91.22,-122.91
224,-92.32,-120.58
225,-100.68,-119.37
226,-60.98,-118.57
227,-103.12,-118.64
228,-158.16,-118.81
229,-93.81,-118.25
230,-133.07,-118.02
231,-105.71,-117.81
232,-58.61,-117.06
233,-90.91,-116.59
234,-69.30,-116.10
235,-117.76,-116.20
236,-109.15,-115.85
237,-116.59,-115.61
238,-126.34,-115.82
239,-193.78,-116.31
240,-164.36,-116.84
241,-68.82,-116.53
242,-142.15,-116.61
243,-90.64,-116.62
244,-83.31,-116.38
245,-75.29,-115.69
246,-75.14,-115.40
247,-186.43,-116.10
248,-134.42,-116.26
249,-80.36,-115.13
250,-87.10,-114.00
251,-110.94,-113.66
252,-62.71,-112.60
253,-64.90,-112.09
254,-110.12,-111.69
255,-91.75,-111.51
256,-107.63,-111.25
257,-68.86,-110.93
258,-100.54,-111.01
259,-77.79,-110.34
260,-50.28,-108.95
261,-82.94,-108.72
262,-51.34,-108.24
263,-57.79,-107.76
264,-66.67,-107.16
