Episode,System_Avg_Reward,Rolling_100_Avg
228,-911.59,-1362.53
229,-732.45,-1352.23
230,-916.87,-1345.39
231,-1193.61,-1337.63
232,-1393.74,-1331.79
233,-1062.26,-1324.66
234,-956.63,-1316.98
235,-800.42,-1310.19
236,-785.88,-1297.88
237,-969.95,-1289.92
238,-1006.27,-1282.17
239,-700.79,-1273.81
240,-661.77,-1265.42
241,-914.01,-1255.30
242,-881.05,-1246.05
243,-823.95,-1238.94
244,-735.94,-1231.08
245,-763.33,-1224.34
246,-855.42,-1210.87
247,-924.96,-1202.72
248,-756.13,-1193.19
249,-650.24,-1183.18
250,-850.28,-1174.54
251,-1016.04,-1165.91
252,-1026.96,-1159.30
253,-478.01,-1148.50
254,-978.48,-1144.25
255,-974.43,-1138.93
256,-1150.29,-1133.26
257,-835.02,-1125.41
258,-985.77,-1121.53
259,-831.02,-1116.40
260,-772.67,-1109.56
261,-1113.06,-1102.73
262,-752.87,-1095.27
263,-1059.66,-1091.05
264,-1031.61,-1087.84
265,-1020.54,-1083.97
266,-1166.03,-1076.41
267,-742.36,-1070.26
268,-844.23,-1063.05
269,-790.24,-1058.23
270,-691.64,-1053.67
271,-1141.40,-1048.49
272,-967.76,-1043.59
273,-813.67,-1037.85
274,-683.98,-1032.09
275,-708.41,-1025.32
276,-1099.91,-1020.94
277,-777.48,-1015.53
278,-875.33,-1012.66
279,-1045.77,-1009.19
280,-625.87,-1004.05
281,-983.00,-1000.13
282,-870.53,-997.08
283,-846.95,-993.75
284,-790.40,-990.51
285,-706.03,-987.45
286,-1020.45,-981.84
287,-740.85,-975.01
288,-771.68,-969.87
289,-808.67,-967.03
290,-869.92,-963.75
291,-873.73,-959.57
292,-840.03,-956.51
293,-662.28,-951.86
294,-687.69,-951.36
295,-785.43,-949.68
296,-1121.98,-947.26
297,-747.91,-942.64
298,-629.09,-939.28
299,-638.78,-933.63
300,-731.30,-928.99
301,-998.80,-926.25
302,-598.50,-921.97
303,-586.25,-916.26
304,-903.60,-914.58
305,-653.55,-910.48
306,-698.62,-907.58
307,-765.11,-904.55
308,-588.41,-898.07
309,-613.49,-893.33
310,-628.82,-887.77
311,-818.70,-884.24
312,-762.25,-882.44
313,-622.37,-878.17
314,-623.93,-874.38
315,-729.54,-872.16
316,-726.36,-866.18
317,-650.60,-862.39
318,-758.06,-860.94
319,-655.88,-857.48
320,-491.95,-851.54
321,-673.87,-843.42
322,-748.62,-838.36
323,-670.70,-834.15
324,-549.39,-830.04
325,-508.88,-825.74
326,-769.28,-821.63
327,-617.34,-817.88
328,-487.53,-813.64
329,-554.72,-811.86
330,-564.55,-808.34
331,-507.06,-801.47
332,-673.88,-794.27
333,-677.72,-790.43
334,-574.21,-786.60
335,-653.16,-785.13
336,-640.69,-783.68
337,-598.12,-779.96
338,-713.94,-777.04
339,-481.23,-774.84
340,-496.22,-773.18
341,-627.78,-770.32
342,-813.30,-769.64
343,-616.22,-767.57
344,-427.08,-764.48
345,-514.07,-761.99
346,-773.01,-761.16
347,-639.71,-758.31
348,-472.85,-755.48
349,-510.93,-754.08
350,-441.13,-749.99
351,-643.87,-746.27
352,-646.34,-742.46
353,-290.81,-740.59
354,-679.53,-737.60
355,-505.00,-732.91
356,-559.24,-727.00
357,-521.08,-723.86
358,-660.77,-720.61
359,-627.85,-718.58
360,-520.00,-716.05
361,-583.47,-710.75
362,-620.28,-709.43
363,-595.11,-704.78
364,-465.47,-699.12
365,-498.83,-693.90
366,-693.17,-689.18
367,-594.68,-687.70
368,-485.31,-684.11
369,-461.10,-680.82
370,-210.93,-676.01
371,-612.94,-670.73
372,-538.92,-666.44
373,-517.70,-663.48
374,-438.82,-661.03
375,-451.39,-658.46
376,-580.46,-653.26
377,-540.24,-650.89
378,-441.94,-646.56
379,-465.76,-640.76
380,-338.47,-637.88
381,-451.11,-632.56
382,-591.82,-629.78
383,-404.16,-625.35
384,-526.36,-622.71
385,-261.07,-618.26
386,-500.34,-613.06
387,-467.33,-610.32
388,-439.42,-607.00
389,-444.32,-603.36
390,-423.82,-598.89
391,-618.50,-596.34
392,-438.48,-592.33
393,-411.96,-589.82
394,-413.81,-587.08
395,-320.18,-582.43
396,-412.68,-575.34
397,-518.21,-573.04
398,-419.22,-570.94
399,-353.24,-568.09
400,-310.14,-563.88
401,-492.82,-558.82
402,-348.68,-556.32
403,-469.13,-555.15
404,-310.80,-549.22
405,-185.20,-544.54
406,-477.46,-542.32
407,-224.10,-536.91
408,-389.73,-534.93
409,-287.59,-531.67
410,-157.57,-526.96
411,-395.91,-522.73
412,-431.98,-519.43
413,-333.46,-516.54
414,-387.96,-514.18
415,-495.40,-511.84
416,-512.72,-509.70
417,-443.66,-507.63
418,-337.65,-503.43
419,-380.64,-500.67
420,-366.52,-499.42
421,-325.67,-495.94
422,-672.40,-495.17
