Episode,System_Avg_Reward,Rolling_100_Avg
1,-192.50,-192.50
2,-183.86,-188.18
3,-197.90,-191.42
4,-229.41,-200.92
5,-190.39,-198.81
6,-188.36,-197.07
7,-211.40,-199.12
8,-205.33,-199.89
9,-214.46,-201.51
10,-226.20,-203.98
11,-212.99,-204.80
12,-196.54,-204.11
13,-204.15,-204.12
14,-241.17,-206.76
15,-249.85,-209.63
16,-219.65,-210.26
17,-221.26,-210.91
18,-207.71,-210.73
19,-201.03,-210.22
20,-189.78,-209.20
21,-204.51,-208.97
22,-144.53,-206.04
23,-190.42,-205.37
24,-191.72,-204.80
25,-186.41,-204.06
26,-188.01,-203.44
27,-174.90,-202.39
28,-182.06,-201.66
29,-157.63,-200.14
30,-170.59,-199.16
31,-167.38,-198.13
32,-196.29,-198.07
33,-162.18,-196.99
34,-172.85,-196.28
35,-168.40,-195.48
36,-173.96,-194.88
37,-185.37,-194.63
38,-170.89,-194.00
39,-170.59,-193.40
40,-149.74,-192.31
41,-163.39,-191.60
42,-154.66,-190.72
43,-168.41,-190.21
44,-146.71,-189.22
45,-163.45,-188.64
46,-187.93,-188.63
47,-184.86,-188.55
48,-173.80,-188.24
49,-144.19,-187.34
50,-140.96,-186.41
51,-154.80,-185.79
52,-152.16,-185.15
53,-168.44,-184.83
54,-165.12,-184.47
55,-138.51,-183.63
56,-134.32,-182.75
57,-133.16,-181.88
58,-132.10,-181.02
59,-144.44,-180.40
60,-136.83,-179.68
61,-166.16,-179.46
62,-144.33,-178.89
63,-131.72,-178.14
64,-110.72,-177.09
65,-164.16,-176.89
66,-155.00,-176.56
67,-99.82,-175.41
68,-108.56,-174.43
69,-137.84,-173.90
70,-163.37,-173.75
71,-125.69,-173.07
72,-156.17,-172.84
73,-149.50,-172.52
74,-134.71,-172.01
75,-130.16,-171.45
76,-98.07,-170.48
77,-97.07,-169.53
78,-108.83,-168.75
79,-148.65,-168.50
80,-113.24,-167.81
81,-118.93,-167.20
82,-138.74,-166.85
83,-113.57,-166.21
84,-97.98,-165.40
85,-57.22,-164.13
86,-97.19,-163.35
87,-117.38,-162.82
88,-93.03,-162.03
89,-96.18,-161.29
90,-129.69,-160.94
91,-117.47,-160.46
92,-115.16,-159.97
93,-159.45,-159.96
94,-112.39,-159.46
95,-108.90,-158.92
96,-102.08,-158.33
97,-80.09,-157.52
98,-103.03,-156.97
99,-102.48,-156.42
100,-119.27,-156.05
101,-119.09,-155.31
102,-104.80,-154.52
103,-84.04,-153.38
104,-143.47,-152.52
105,-83.52,-151.45
106,-159.76,-151.17
107,-104.27,-150.10
108,-110.38,-149.15
109,-92.82,-147.93
110,-92.38,-146.59
111,-106.86,-145.53
112,-79.46,-144.36
113,-103.93,-143.36
114,-87.83,-141.83
