Episode,System_Avg_Reward,Rolling_100_Avg
1,-195.57,-195.57
2,-171.66,-183.62
3,-192.88,-186.70
4,-189.88,-187.50
5,-196.93,-189.38
6,-194.48,-190.23
7,-211.37,-193.25
8,-219.89,-196.58
9,-228.65,-200.14
10,-232.51,-203.38
11,-184.68,-201.68
12,-230.87,-204.11
13,-175.96,-201.95
14,-166.22,-199.40
15,-197.02,-199.24
16,-208.28,-199.80
17,-228.63,-201.50
18,-204.70,-201.68
19,-201.34,-201.66
20,-213.78,-202.26
21,-182.76,-201.34
22,-204.32,-201.47
23,-170.42,-200.12
24,-169.69,-198.85
25,-190.54,-198.52
26,-187.84,-198.11
27,-182.00,-197.51
28,-189.17,-197.22
29,-192.14,-197.04
30,-193.02,-196.91
31,-161.82,-195.77
32,-175.94,-195.15
33,-176.37,-194.59
34,-174.21,-193.99
35,-186.84,-193.78
36,-165.03,-192.98
37,-180.20,-192.64
38,-172.69,-192.11
39,-196.71,-192.23
40,-170.42,-191.69
41,-207.14,-192.06
42,-198.90,-192.22
43,-163.18,-191.55
44,-167.06,-190.99
45,-175.31,-190.64
46,-174.28,-190.29
47,-198.15,-190.46
48,-230.49,-191.29
49,-222.50,-191.93
50,-168.42,-191.46
51,-216.77,-191.95
52,-203.60,-192.18
53,-177.77,-191.90
54,-159.22,-191.30
55,-192.67,-191.32
56,-164.82,-190.85
57,-184.52,-190.74
58,-178.96,-190.54
59,-181.90,-190.39
60,-171.79,-190.08
61,-165.94,-189.69
62,-160.41,-189.21
63,-179.05,-189.05
64,-173.46,-188.81
65,-150.05,-188.21
66,-169.26,-187.92
67,-169.59,-187.65
68,-145.28,-187.03
69,-166.79,-186.73
70,-175.64,-186.58
71,-162.99,-186.24
72,-149.33,-185.73
73,-184.39,-185.71
74,-179.85,-185.63
75,-143.00,-185.06
76,-144.60,-184.53
77,-163.52,-184.26
78,-153.03,-183.86
79,-166.88,-183.64
80,-161.36,-183.37
81,-148.85,-182.94
82,-160.72,-182.67
83,-180.75,-182.65
84,-165.25,-182.44
85,-153.42,-182.10
86,-171.78,-181.98
87,-160.30,-181.73
88,-187.91,-181.80
89,-139.42,-181.32
90,-189.69,-181.41
91,-166.36,-181.25
92,-168.39,-181.11
93,-172.45,-181.02
94,-197.32,-181.19
95,-165.52,-181.03
96,-232.64,-181.56
97,-193.33,-181.68
98,-197.28,-181.84
99,-192.91,-181.96
100,-224.17,-182.38
101,-176.30,-182.18
102,-168.75,-182.16
103,-176.91,-182.00
104,-156.80,-181.66
105,-160.43,-181.30
106,-159.94,-180.95
107,-174.17,-180.58
108,-174.31,-180.13
109,-141.66,-179.26
110,-184.94,-178.78
111,-153.36,-178.47
112,-161.04,-177.77
113,-163.64,-177.65
114,-159.29,-177.58
115,-182.54,-177.43
116,-147.75,-176.83
117,-174.02,-176.28
118,-175.56,-175.99
119,-151.52,-175.49
120,-171.96,-175.07
121,-183.08,-175.08
122,-181.89,-174.85
123,-196.50,-175.11
124,-178.70,-175.20
125,-154.22,-174.84
126,-189.71,-174.86
127,-190.36,-174.94
128,-183.81,-174.89
129,-178.91,-174.76
130,-191.46,-174.74
131,-191.49,-175.04
132,-197.43,-175.25
133,-165.78,-175.15
134,-177.73,-175.18
