Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8
-3145.3764799658056,-3606.7837327291845,-4707.821450585349,-337.1929742444954,-1267.9732478330038,477.2910896392817,-1068.5036544802388,-3192.507805297645
-3752.181373995738,-3246.5155059114763,-4284.743121454871,-498.6289254298663,-1071.9872650044724,276.3334301248259,-756.2393222331193,-2524.217075733568
-3016.9241150931875,-2772.622650696905,-4043.8964758438065,-363.6380067404857,-1848.5409691257405,295.9112762205695,-1262.5709508737596,-2624.524944855437
-3242.3030182883667,-2810.6411401738264,-4448.23723948723,87.20173544674216,-1477.1321378534394,440.2101545280909,-1476.877544829153,-2580.689064161597
-4044.266085344279,-2597.7140852430334,-4531.28036058231,-419.43315376619745,-1321.3838681383436,329.5170127441511,-1259.9668479088905,-2635.219609717218
-3065.318032777085,-3267.1108846621164,-3548.853078964652,-188.88547605746342,-1189.4284284221292,262.02375406468366,-1568.6847075619837,-2636.0622578633293
-3313.902483311291,-3098.578035215046,-2967.183734116862,23.643781896503015,-1326.0217565232874,377.10266566834,-952.4705892765644,-3330.9981626606987
-3212.1044254472454,-2876.322829889539,-3869.311212222166,-567.7514233448157,-1591.7650313510808,282.7710738801186,-1574.678297653394,-2581.433228060638
-2781.716142468629,-3017.9435200632943,-5800.515578249234,-224.35611841636845,-1983.40178637706,277.56792000285805,-1111.1903882771244,-2183.1755843880333
-4598.811272460652,-2497.1467367752816,-6625.9446406135885,-386.48845355622797,-1081.8613664114168,252.49129406916938,-1035.4025094616436,-2670.5292371678406
-2712.118640288124,-2601.2607474086553,-6061.901419011534,25.08016020700701,-1161.942262363025,293.71722411847645,-417.1201189247007,-2659.878322426034
-3511.4108895827712,-2638.5148608380687,-5135.665348539607,-387.3365848182956,-1529.2914425622484,256.30642775501434,-763.327828278478,-2682.06732279844
-2855.467977392397,-2540.7528343988865,-4703.17901422997,-535.5188805866144,-914.7386258041424,231.56993635178236,-1106.9522791546624,-2735.20512009531
-2983.0695058351794,-2622.0264136045253,-4694.706909133198,-197.48340318337148,-1328.1387349815946,287.6182410949818,-1284.5863947956873,-2422.316854075991
-3054.139330783115,-2729.091358726755,-3969.4629037752447,-631.3686190771804,-1456.6836970927964,200.1341180300622,-807.8965532973689,-2371.5654404275283
-2996.219473651392,-2419.828348553523,-3764.0250415911332,-122.79091171861681,-1124.538572759144,273.46992208600255,-1158.5995961489539,-2932.75337852802
-2395.0502825572075,-3103.995929464279,-4891.066509492558,-286.9753726091436,-1372.433969417666,265.86611203290136,-469.379151017313,-2116.896849853021
-3032.8105605312185,-2769.96273194758,-4395.262890805103,-457.5416423326203,-1377.0706665660564,331.9936114283058,-1737.4529122581303,-2836.250204904567
-2948.5046341620514,-2564.9990417162307,-3734.758754662871,-115.78435587426388,-1034.8601550454591,281.4194865601005,-1523.263414198767,-2890.308745981205
-2395.733803650987,-2517.613758930358,-5159.896495400952,-620.1520608355142,-1145.6720829161563,280.0228062480448,-1088.5382938108921,-2665.2085637509654
-4142.538058252136,-2795.3331414718587,-4635.473399209222,27.960161658667545,-1408.7843191486872,269.06993110652144,-408.18126732382865,-3006.500606121659
-3052.62170566674,-2324.056944656493,-4175.235431789266,-633.0500478609824,-2455.9660235609435,278.9607070687515,-615.7642071492843,-2730.90577896191
-2483.752094344949,-2509.1391713616945,-4694.564956240277,-401.2048311229311,-1679.1909798097427,365.1836882470449,-1668.3564850626924,-2475.248851107226
-3796.732573506285,-2415.591707480611,-4249.336381362338,-589.0135666183705,-1709.2885394831328,197.40233922227836,-829.1897065398452,-2156.9752906924277
-3206.2954879386944,-2994.712461721537,-4599.073079651287,-215.181519095736,-1370.5781505673706,221.6962143287069,-740.86746627674,-1466.3512886021977
-3199.801661241374,-2320.77606284585,-5355.250639359607,-603.5282622636079,-1911.9874495746649,176.76890408469012,-323.436087268167,-2710.203773208032
-2669.4357646801686,-2616.7988517614835,-4733.892188433655,64.56499627578515,-1625.6243771008958,260.9214718801597,-626.3095407175958,-2339.8213009384453
-3110.6105043827965,-2236.8185381019975,-3611.0005957002977,-274.7326751120196,-2142.3313722803796,246.68296415492614,-1333.8440058697183,-2877.6885503682597
-3208.8172959505955,-2327.9250571413486,-4941.189888301315,-423.119770017169,-2051.2052824008965,348.483833021262,-788.2305754708002,-2214.0874616520823
-2943.0888161374764,-2688.797740940702,-3670.4956343294175,-637.0854353592771,-1981.6178041805147,274.4953898673454,-1064.6785542820958,-2132.697076036994
-3133.2902749722325,-2385.19461298929,-4095.0976076826455,-921.8874775858753,-862.9182990869976,216.98542773703463,-1255.821083676777,-2340.548980841101
-3717.8845964625657,-2757.3770017501483,-3684.743573472135,-212.6898094434816,-1115.1547624824611,89.50582261869116,-566.9887674144238,-2640.839118410949
-3290.1639412640425,-3191.0024780254744,-4939.35542962571,-452.16595662203423,-1760.5323411560453,306.7858305424975,-1017.3530947186358,-3105.4008539691717
-3335.7642860979854,-2211.1845914064997,-4940.3715899741765,-362.9972764329159,-1377.708889771651,270.361961679214,-759.0096561138987,-2298.238961864471
-2529.8468823114727,-2420.426245857563,-5001.398236535972,-101.05807964266745,-1131.1056566300872,480.22195490331467,-257.1803493738913,-2627.0682943200277
-2971.7958053904513,-2620.730321801555,-4991.314688068759,63.69502362677596,-881.1040916210352,237.17236914180114,-93.64464073022208,-2841.401984116057
-2921.9720106718332,-1672.9112662824373,-4539.670733904412,-216.0521854876699,-668.5937007099201,327.8144653435118,-255.56847991243455,-2861.6106916520876
-2309.6638434857673,-2635.622447425936,-4035.1412751712983,-263.81072248076697,-1880.0193337623655,515.2796372604765,-1632.1012340483005,-3513.128603791124
-3504.3152578732634,-2789.9752079874997,-3428.8104088528407,-600.0594712700533,-1655.903125251476,293.7307920351335,-1062.0032057895432,-3072.5603515497996
-2787.914063764467,-2145.063484640882,-4541.44105107131,-424.21428959607323,-990.0578844905307,297.99057986152883,-658.4736145454293,-2956.1199120852116
-3186.158455642736,-2083.660254217536,-4825.110803095715,33.916457821322,-752.4681657369254,244.50158780696515,-711.9859254270057,-2513.5317459608314
-2715.185575703861,-1970.5372531504063,-2927.0266988932703,-380.10670336915797,-1138.9673558742597,403.44135661194616,-396.2242713901964,-2716.3265966693125
-2476.464625952879,-3167.0177985445953,-4319.777694142549,-485.7291046324564,-1725.1023276514445,315.05158659021447,-1368.8069972143721,-2906.324136431026
-2353.4119919305094,-2403.893501949628,-4011.391295766495,-300.65266267484276,-1713.1833602845632,264.60288000931916,-644.4941733239973,-2962.072750725862
-3027.7089638094003,-2460.9239206810817,-4231.750167688106,-664.5028902760575,-1208.326000709027,291.1598720627543,-392.97594580786244,-2551.1825457304158
-2390.9865888319014,-2313.7381547076866,-4397.312120560717,-163.81904581754088,-695.0083223914739,243.26127155167404,-300.9033100282758,-2277.9084179423435
-2221.7084346618876,-2436.5766792295453,-4549.354577297176,-72.88153454285114,-552.0267349900357,329.136587711959,-54.26975602743738,-2453.650747353095
-3206.5108954859006,-2448.206871315379,-4145.632397569837,-75.18779582677027,-2455.9787579637227,496.1502481031488,-791.8725914947994,-2781.5546392203582
-2354.0020114490408,-2525.0837782473163,-4868.490375380449,-210.89461850526465,-1820.90309003007,296.01341982199256,-766.2467527237635,-2197.0724155971848
-2438.1944869119147,-2448.0795307420876,-4057.494908100931,246.10332828817232,-1469.3542740904095,224.97958605290944,-327.82991429745823,-2010.2492981933024
-2850.6257564062917,-2281.5444387350835,-4103.08527839546,-165.3568720334166,-1023.4572561396637,246.61468736497284,104.69851980683816,-2103.1714522189704
-2521.8921216980334,-2425.4911373988116,-3691.689417904009,-93.23470372713908,-692.0293810464304,250.17851964934903,80.32539063066366,-2399.5764748690463
-2619.6811534904227,-3280.975921019395,-4973.236471545131,-444.0510466495141,-1922.2645304124708,309.67726574516337,-1377.292491825891,-3311.2488989339945
-2602.299400414797,-2441.8384179242335,-3838.9608868605555,-269.2790313218767,-1491.6076205831591,263.1998222520804,-608.1274639299793,-2934.8674186100184
-2564.5874888837616,-2661.746281196414,-4072.1166324255946,-5.813407519123473,-927.4943904601208,259.9749202440411,-1115.573704678145,-2587.032893041077
-2731.000103396997,-2289.1021043786395,-4448.8954672302225,-97.03477334265008,-821.9744160381671,300.3376477236545,-664.3482363930461,-2451.9463419462327
-2537.441236031348,-1999.6031252240602,-4587.084994192063,-358.0264704791323,-1183.0475895072668,221.37177887237908,-760.2807506629334,-2509.5387428949016
-2382.3145945442684,-2613.9219872380163,-4788.4831902655405,-32.97611456496984,-2094.2720555090677,277.62450379255813,-966.9330898760053,-2432.638550124746
-2076.7487939372686,-2327.892762942867,-5123.497319810673,138.45229790600737,-1262.5528871790725,357.8488173449134,-844.4077774946736,-2369.729578832643
-2562.1564474869947,-2228.5554415062893,-3768.6817178209585,-25.51781226030377,-808.3765505417763,195.5325558189545,-957.7138992539963,-2304.7793139887317
-2190.108799667347,-1606.3008342511694,-4223.286492975734,76.31927349808824,-320.8425596457946,218.36823355587944,-1152.8064951117613,-2031.7287292215497
-3422.976907705726,-1714.6457138934793,-3677.951599903925,30.3072359784099,-382.5722334742577,283.28005437762477,-729.2772692905015,-2438.1780835667887
-1992.7933177552768,-2419.7076010898027,-4200.817019187758,-41.62015570811283,-1419.9916401043029,181.37461876238012,-1285.2878285621814,-2555.3712488241626
-2657.9651583548466,-2208.6984728583648,-4897.013845427195,129.86664580485933,-759.7498779117241,270.18163560320386,-1129.965498026375,-1707.898070756734
-2303.20910263691,-1765.6778263676395,-4076.6993386551003,164.8505521593569,-632.716044319201,70.52097291393207,-705.3994146209043,-1742.4126624279284
-2524.838168602394,-1858.1621701192362,-3905.9739156293704,206.88391447061963,-383.3206256712138,256.1201171460533,-369.5078446640762,-2175.0077221116126
-2906.528822883941,-1901.13593104058,-4875.426132531151,66.83691744292283,-568.0062431622858,257.5163828482143,-108.89427446250733,-1617.943027059464
-2267.4502826063667,-2588.7419905389597,-4820.505946091883,-160.66560480560526,-1508.6362931354743,232.91961763062204,-1023.6743781817961,-2228.812422320888
-1684.8317146508825,-1948.7537214442953,-4616.055475869931,156.8630670641238,-1346.4104306914728,254.8871841000714,-719.9100596590731,-2085.1388810072744
-2279.2474985877407,-2134.7376244333773,-4414.02729349833,-80.6796258790046,-1066.0234625727662,223.3192536711724,-113.91956894765913,-1993.145921617988
-2583.07126197142,-1842.9179531241725,-3608.68653405657,-21.086683197306854,-531.5573794710366,62.359532674925646,-503.4357609464619,-1789.1627117861665
-1144.007376945914,-2565.768972092145,-4305.166588013159,-111.91122992620863,-282.52961236111696,293.1808619539413,-966.5891238862396,-2179.613338959982
-2196.19135082723,-1789.4461692244615,-6179.0266775797145,-702.6760146578298,-1493.288058053905,-252.64706129676043,-675.3929853039813,-2088.2523491989314
-2018.5432113224347,-1648.122785008246,-4169.325553780238,248.55221166973288,-1380.5886789249134,177.3104112141831,-309.9470038857273,-1759.5148900865138
-2323.3547497310306,-1919.0543635780118,-4828.705982172329,134.9961230802934,-1052.9097729560303,152.02586626376598,-329.66458193562806,-2354.1063379718794
-3155.7352987042573,-1789.6437907462387,-3303.2074568855796,10.045765665660355,-223.4632131320244,266.0862855673338,-50.879771216008166,-1925.8098485053458
-2183.359345634569,-1678.45616392472,-3653.1333428759567,9.02394538703296,-286.06910749777535,233.39619475625074,-185.06870638791023,-1443.712640258487
-2476.1829822862633,-1970.4503861664111,-4752.241798872078,71.76091099059107,-1191.9064341942285,311.3249613425687,-1013.419710192456,-2254.0064408563503
-2284.3573638441235,-1903.0133927249544,-4551.784061487893,59.35216041777957,-1123.335347442122,282.1147441933564,-416.53184164469445,-1722.664925616613
-1852.2149329348288,-1965.0329582968982,-4807.984630551997,71.40274417632264,-779.6442285504195,215.86947858670885,-175.37847321026436,-1810.58330872292
-2275.7174041015596,-1570.886495595276,-4051.3860883761804,118.81298997001814,-379.85049369267625,254.05129754049818,-214.4172076103664,-1955.5019538764218
-2107.1350599735115,-2390.017861157899,-4794.794101589345,20.612575906769294,-384.7022288035754,464.36198253279383,-406.48741133119063,-1487.4681771792882
-2608.9067288120277,-2300.0503665559354,-4555.4035834827655,228.03887155778347,-1242.3001750061462,208.1636198577536,36.45185642630452,-2068.9197615280445
-1958.634622167447,-1824.8889406299422,-4291.649939453112,235.25698795729377,-579.6371130024095,213.70373679204877,-249.98461063429752,-2093.849776082041
-2022.2078646782647,-1787.6300309868411,-3419.175570584291,82.09763485292241,-578.2991295042053,192.86425422054526,-177.06062237339097,-1587.1368625422874
-1698.5355132155307,-2263.8248109382184,-5237.347139288478,60.95022785947312,-519.4596515556893,284.0262181669058,-313.76581207332356,-1453.801869774175
-1609.414083281005,-2189.118931998519,-3399.316310310289,140.09657497191762,-366.20036758106556,298.3074282142617,42.5992822320816,-2034.971138520418
-2591.9480494463733,-1740.7390210388971,-3314.357217453123,-313.76918050818693,-1162.10317569201,296.1840450546498,-231.87889835266844,-1945.1499989927142
-2281.355767786208,-1987.7545925127783,-3170.783371564631,150.3505098030773,-735.8702782258184,565.8436711063996,-417.7724712265711,-1523.6948307121888
-1296.0452690720394,-1794.8805802604904,-4954.085984590998,118.01280819446714,-151.1918575366597,233.75418790824995,8.463350501326907,-1603.8552110902447
-2125.348725058869,-1599.0546455859817,-3675.873480415513,47.846230489322494,-113.11091471381829,242.4420866726656,-224.01142846256855,-1468.5735695017265
-1507.6221334916563,-1109.3933047240698,-3838.9194897275765,126.70966620374699,-337.0854326656251,294.46375215816846,-85.7064007728697,-1640.0080507344946
-2129.319955530258,-2239.4882757906735,-5040.411258450442,134.40202118431222,-831.0675781760272,286.29542964081577,-958.1016229131787,-1869.5682200625497
-1840.2108228264146,-1701.0427024241958,-4280.558853131548,25.33386362111417,-854.0387371998227,305.0861275706088,-797.6319046413292,-2254.2316998307056
