Episode,System_Avg_Reward,Rolling_100_Avg
1,-147.79,-147.79
2,-227.82,-187.80
3,-269.69,-215.10
4,-209.09,-213.60
5,-136.69,-198.22
6,-226.48,-202.93
7,-124.46,-191.72
8,-122.04,-183.01
9,-165.80,-181.10
10,-229.56,-185.94
11,-131.95,-181.03
12,-215.22,-183.88
13,-205.54,-185.55
14,-248.60,-190.05
15,-249.76,-194.03
16,-171.42,-192.62
17,-143.44,-189.73
18,-148.48,-187.44
19,-229.73,-189.66
20,-269.13,-193.63
21,-111.38,-189.72
22,-221.63,-191.17
23,-148.07,-189.29
24,-186.25,-189.17
25,-203.21,-189.73
26,-213.79,-190.65
27,-320.62,-195.47
28,-204.88,-195.80
29,-179.86,-195.25
30,-243.02,-196.85
31,-200.91,-196.98
32,-279.16,-199.55
33,-359.41,-204.39
34,-311.48,-207.54
35,-224.39,-208.02
36,-323.56,-211.23
37,-343.28,-214.80
38,-338.15,-218.05
39,-378.26,-222.15
40,-301.10,-224.13
41,-387.47,-228.11
42,-375.29,-231.62
43,-376.51,-234.99
44,-328.35,-237.11
45,-379.00,-240.26
46,-369.40,-243.07
47,-424.65,-246.93
48,-371.69,-249.53
49,-341.44,-251.41
50,-411.63,-254.61
51,-412.38,-257.70
52,-332.73,-259.15
53,-360.69,-261.06
54,-358.38,-262.87
55,-330.82,-264.10
56,-442.11,-267.28
57,-386.20,-269.37
58,-380.70,-271.29
59,-346.69,-272.56
60,-406.71,-274.80
61,-401.26,-276.87
62,-375.02,-278.46
63,-367.39,-279.87
64,-387.47,-281.55
65,-381.36,-283.08
66,-337.25,-283.90
67,-264.78,-283.62
68,-310.84,-284.02
69,-261.61,-283.69
70,-306.33,-284.02
71,-309.99,-284.38
72,-352.18,-285.33
73,-373.14,-286.53
74,-369.96,-287.66
75,-346.00,-288.43
76,-206.90,-287.36
77,-302.26,-287.55
78,-312.62,-287.88
79,-232.33,-287.17
80,-291.01,-287.22
81,-272.49,-287.04
82,-292.04,-287.10
83,-325.47,-287.56
84,-260.60,-287.24
85,-283.38,-287.20
86,-199.76,-286.18
87,-274.91,-286.05
88,-276.96,-285.95
89,-290.29,-285.99
90,-315.83,-286.33
91,-286.52,-286.33
92,-246.59,-285.90
93,-297.92,-286.03
94,-262.95,-285.78
95,-257.92,-285.49
96,-218.93,-284.79
97,-214.53,-284.07
98,-264.14,-283.87
99,-217.69,-283.20
100,-234.12,-282.71
101,-289.97,-284.13
102,-294.50,-284.80
103,-394.86,-286.05
104,-335.44,-287.31
105,-355.77,-289.50
106,-371.21,-290.95
107,-336.03,-293.06
108,-385.94,-295.70
109,-372.15,-297.77
110,-427.65,-299.75
111,-297.04,-301.40
112,-334.66,-302.59
113,-381.41,-304.35
114,-378.94,-305.66
115,-417.52,-307.33
116,-348.80,-309.11
117,-380.40,-311.48
118,-440.95,-314.40
119,-423.94,-316.34
120,-384.40,-317.50
121,-386.04,-320.24
122,-469.37,-322.72
123,-328.13,-324.52
124,-332.45,-325.98
125,-348.24,-327.43
126,-561.69,-330.91
127,-343.87,-331.14
128,-403.53,-333.13
129,-295.25,-334.28
130,-328.52,-335.14
131,-376.80,-336.90
132,-341.96,-337.53
133,-357.79,-337.51
134,-376.61,-338.16
135,-360.45,-339.52
136,-269.88,-338.99
137,-249.16,-338.04
138,-281.52,-337.48
139,-316.08,-336.86
140,-249.64,-336.34
141,-352.95,-336.00
142,-483.76,-337.08
143,-339.07,-336.71
144,-465.82,-338.08
145,-415.88,-338.45
146,-399.39,-338.75
147,-399.42,-338.50
148,-317.56,-337.96
149,-359.86,-338.14
150,-351.65,-337.54
151,-385.69,-337.27
152,-357.28,-337.52
153,-354.66,-337.46
154,-327.22,-337.15
155,-343.63,-337.28
156,-354.30,-336.40
157,-300.97,-335.55
158,-331.97,-335.06
159,-337.11,-334.96
160,-369.72,-334.59
161,-362.79,-334.21
162,-347.64,-333.93
163,-404.94,-334.31
164,-468.16,-335.12
165,-422.41,-335.53
166,-328.01,-335.43
167,-297.00,-335.76
168,-363.94,-336.29
169,-302.23,-336.69
