Episode,Average Reward
1,-3763.546103604663
2,-4161.202500352884
3,-3923.7001677400085
4,-4197.853018720073
5,-3913.9707380035675
6,-3772.5063727072024
7,-4278.559422871002
8,-3874.8857649535994
9,-4348.994434053514
10,-3936.773290927446
11,-3817.9978248854013
12,-3665.940782438721
13,-3746.087613194705
14,-4318.545560740665
15,-3529.4373120788605
16,-3371.4170246219405
17,-4264.300574956104
18,-3719.3097877066575
19,-3768.320615483289
20,-3479.0775872545823
21,-3853.9237914389514
22,-3625.761653368624
23,-3414.03874182387
24,-4139.635883158861
25,-4128.205734296378
26,-4122.622548034751
27,-3762.643193792524
28,-3739.80824501938
29,-3604.85445990925
30,-3389.8468649282245
31,-3351.7849256867926
32,-2832.0088953364043
33,-3152.540210767901
34,-3131.901088119255
35,-2632.8828413341757
36,-3054.45779663095
37,-3028.298375308427
38,-2911.5633338582975
39,-2798.6436396061927
40,-2825.0993080921753
41,-2603.8625970983057
42,-3024.9233130327166
43,-2403.8431807212087
44,-2692.3502085715113
45,-2562.1992698082704
46,-2516.6613065155957
47,-2634.9235775258912
48,-2686.669647230559
49,-2493.0856839142325
50,-2357.4325511971465
51,-2913.073045102161
52,-2259.2012275210727
53,-2475.8072314994515
54,-2596.1469557371192
55,-2788.5295665615836
56,-2862.3000735700357
57,-2726.1829955524445
58,-2276.4226258089684
59,-2428.0573281774055
60,-2262.346047210417
61,-2421.4670726861173
62,-2624.540398199434
63,-2613.3407539463537
64,-2207.7274124793016
65,-2258.3047762574793
66,-2639.022136076037
67,-2418.009211086234
68,-2600.4532251331602
69,-2583.407783755207
70,-2349.774508093422
71,-3120.848491532866
72,-2462.2705536178482
73,-2567.0034446718764
74,-2118.835036568249
75,-2478.5984320146713
76,-2391.402038672411
77,-2314.8296303073635
78,-2653.0451154087937
79,-2209.3323641802886
80,-2144.7772372319614
81,-2364.908674485884
82,-1976.7002787216425
83,-2445.82055573636
84,-2110.206159363785
85,-2081.829489602628
86,-2110.87434985892
87,-2077.0587501948744
88,-1891.236026906818
89,-1884.1787721713881
90,-2066.8426650257848
91,-2153.0225142767945
92,-2055.4463601895404
93,-2040.962031234132
94,-2106.108531937055
95,-1982.2723949547856
96,-1954.6008546260941
97,-1938.5585318523474
98,-2059.968374744515
99,-1900.2898890305094
100,-1823.5510391923633
101,-1998.824421761095
102,-2103.0913997796106
103,-2330.4616152971853
104,-1911.9280157620738
105,-2048.913481207862
106,-1895.030599413775
107,-1905.5887468143205
108,-1852.5092231437409
109,-1780.6606751080976
110,-1796.2414940472859
111,-2034.2947497396212
112,-1816.3824518850934
113,-1914.0990316309724
114,-2012.4725873452753
115,-1963.5799290721086
116,-1943.2842101003084
117,-1943.5906783075916
118,-1796.4204049406069
119,-2031.0268789595766
120,-1785.7994444345375
121,-1917.5429097075678
122,-1950.761437239118
123,-1855.4957089248915
124,-1847.2216136372356
125,-1825.7714758521843
126,-2181.148533104827
127,-1876.864161247798
128,-1698.4827237210459
129,-1762.390517369938
130,-1601.0705754096605
131,-1969.2759778631353
132,-1977.4870295674177
133,-1775.6617150415468
134,-1724.3121630565577
135,-1480.1166373048147
136,-2016.7713872473885
137,-1765.5621070808224
138,-1780.7763203298996
139,-1537.051836091033
140,-1501.4164845487587
141,-1926.0992125967023
142,-1805.834952763887
143,-1535.0149372493777
144,-1521.9909808446344
145,-1436.676165795432
146,-2202.384156016457
147,-1740.4725521740675
148,-1709.2987347450244
149,-1650.4954743752876
150,-1714.2063912649157
151,-1879.239384791257
152,-1688.5660006182845
153,-1557.531078380012
154,-1403.7983004774235
155,-1506.5018146848304
156,-1716.776774058652
157,-1620.155330240897
158,-1373.8428579942993
159,-1344.2258018976538
160,-1456.697641356099
161,-1795.6959125062938
162,-1498.6687540198418
163,-1482.3077177332118
164,-1352.194843984776
165,-1407.8006725288528
166,-1922.1150832678518
167,-1357.5224375155196
168,-1565.0967248751062
169,-1271.5759159945576
170,-1148.4223958045168
171,-1659.3902350293286
172,-1457.527503518658
173,-1387.945788688037
174,-1259.3619194677456
175,-1385.7037851994057
176,-1537.8657834428848
177,-1318.7105346524884
178,-1162.0685239494767
179,-1392.7197938523796
180,-1139.7521932841294
181,-1375.4701870536653
182,-1175.12964138984
183,-1179.9785694932984
184,-1114.4605558220612
185,-1012.1951742192971
186,-1580.9074325122501
187,-1424.6618411077866
188,-1285.0214200333678
189,-1093.1844883248127
190,-1198.0268909489705
191,-1291.7207912878607
192,-1145.6389578692329
193,-1126.8660106482537
194,-738.1212370172207
195,-953.6194546101942
196,-1363.377048599745
197,-1209.8543008120917
198,-965.3862779454969
199,-1203.950214335378
200,-1195.7624706881159
201,-1271.860051035957
202,-1027.2798605595124
203,-1156.9918499671796
204,-1071.4508851887936
205,-1063.831309446237
206,-988.5375065736025
207,-1068.2754198097805
208,-1235.9715159037305
209,-1087.1894935588737
210,-1184.9258883872328
211,-1171.9855399034764
212,-942.3960203772757
213,-1049.103745146178
214,-1003.6021645717157
215,-951.4844441898587
216,-1323.901071927202
217,-1029.2456539991879
218,-903.8632437195089
219,-1001.0578897363722
220,-1086.20669753587
221,-1486.2676429413782
222,-1254.606923538806
223,-1091.2622905869412
224,-960.8375188219509
225,-938.6254980832912
226,-1180.3330083625704
227,-992.6702666927763
228,-911.5859194738043
229,-732.4522703493674
230,-916.8731234987247
231,-1193.6103437151478
232,-1393.7406071808252
233,-1062.264252533607
234,-956.6281846279453
235,-800.4188155876298
236,-785.8833329764645
237,-969.9540435318959
238,-1006.2650872359583
239,-700.7893287759955
240,-661.7726402530183
241,-914.0112873579894
242,-881.0493387951124
243,-823.9468730344203
244,-735.940115830159
245,-763.3290433510201
246,-855.422775518683
247,-924.9630921746083
248,-756.1272983267082
249,-650.2448163880633
250,-850.2779821378274
251,-1016.0416804941158
252,-1026.9616879175078
253,-478.00672925827877
254,-978.4804655379605
255,-974.431833042928
256,-1150.2918382546611
257,-835.0164793433363
258,-985.7735728543288
259,-831.0176844608901
260,-772.6733886447732
261,-1113.0574851846923
262,-752.8691477928913
263,-1059.6562868180197
264,-1031.6107896780113
265,-1020.5352490132269
266,-1166.028540833129
267,-742.3585162594147
268,-844.233003137689
269,-790.2422307160241
270,-691.6400640247693
271,-1141.3956385355295
272,-967.7608705927736
273,-813.6708381503469
274,-683.9846859863621
275,-708.4148112976645
276,-1099.911226432446
277,-777.4775966638053
278,-875.3308169828417
279,-1045.7675907436508
280,-625.8747248373692
281,-983.0036751251083
282,-870.530509940351
283,-846.9519188853759
284,-790.3961238344165
285,-706.0280178736722
286,-1020.4468202368598
287,-740.8519568638957
288,-771.6752496306938
289,-808.6743768338887
290,-869.9239396319036
291,-873.7276975307226
292,-840.0254367381483
293,-662.2819521958753
294,-687.6881617839048
295,-785.4302520749106
296,-1121.977789668961
297,-747.9103737096968
298,-629.0895856872379
299,-638.781697443733
300,-731.3010163142933
301,-998.8025680934462
302,-598.5035006651605
303,-586.2499319164996
304,-903.6005930392851
305,-653.549678341525
306,-698.6173422434108
307,-765.1136532398962
308,-588.4099626352807
309,-613.4858397502151
310,-628.8211761006336
311,-818.6952329641025
312,-762.2467454014073
313,-622.3650227972436
314,-623.9290446162366
315,-729.5380274064421
316,-726.363439470967
317,-650.6000909754273
318,-758.0627564198551
319,-655.881851412143
320,-491.9493241154455
321,-673.865367338088
322,-748.6177646373632
323,-670.7035705851061
324,-549.3933832138106
325,-508.87558660111847
326,-769.2829745922916
327,-617.3442726503795
328,-487.52964748356146
329,-554.7169823532132
330,-564.5549625635969
331,-507.0555433787504
332,-673.8830517608429
333,-677.7176591899748
334,-574.2115224255652
335,-653.1573161260554
336,-640.6899000594435
337,-598.1211388581896
338,-713.935423234802
339,-481.23085918106625
340,-496.2181091015805
341,-627.7776347508766
342,-813.3043738673707
343,-616.2211903995769
344,-427.07555850914315
345,-514.068489777907
346,-773.0128771397411
347,-639.7064698602584
348,-472.8541830053634
349,-510.93326742197223
350,-441.12648641026146
351,-643.8713670389266
352,-646.3392223568502
353,-290.81170004409387
354,-679.5285815775133
355,-505.00353516282394
356,-559.2422477759902
357,-521.0772955699903
358,-660.7712327529462
359,-627.8469690532085
360,-520.001730956073
361,-583.4710984938623
362,-620.2823786628261
363,-595.1082305382965
364,-465.46725393756844
365,-498.83097343047007
366,-693.1724929044279
367,-594.6799800296806
368,-485.3106146624041
369,-461.10286797705965
370,-210.92785741442907
371,-612.9374090783575
372,-538.9214524387406
373,-517.7035941961227
374,-438.82420305283364
375,-451.39322709131505
376,-580.4610774709149
377,-540.2393895998478
378,-441.94300303635055
379,-465.75830626749354
380,-338.47013870169707
381,-451.11266145222044
382,-591.8223493796742
383,-404.1551663778988
384,-526.3581478900641
385,-261.06832257829376
386,-500.3398942467128
387,-467.33331862335166
388,-439.42470126431266
389,-444.31771608519176
390,-423.82168692046554
391,-618.501245074226
392,-438.4811189593575
393,-411.9594139199008
394,-413.8066092833226
395,-320.17846411942753
396,-412.68090253891927
397,-518.2062939411865
398,-419.22153022436487
399,-353.2442759855593
400,-310.13978071271106
401,-492.8167477760767
