Episode,System_Avg_Reward,Rolling_100_Avg
1,-4034.36,-4034.36
2,-4119.25,-4076.80
3,-4319.80,-4157.80
4,-3829.86,-4075.82
5,-3760.92,-4012.84
6,-3898.24,-3993.74
7,-3693.63,-3950.87
8,-3744.64,-3925.09
9,-3959.87,-3928.95
10,-3590.93,-3895.15
11,-3348.40,-3845.45
12,-4032.86,-3861.06
13,-3719.91,-3850.21
14,-4165.86,-3872.75
15,-3514.61,-3848.88
16,-3426.26,-3822.46
17,-3731.14,-3817.09
18,-3313.51,-3789.11
19,-3727.16,-3785.85
20,-3770.96,-3785.11
21,-3885.46,-3789.89
22,-4018.41,-3800.27
23,-3762.39,-3798.63
24,-3540.91,-3787.89
25,-3667.02,-3783.05
26,-3903.10,-3787.67
27,-3716.02,-3785.02
28,-3346.93,-3769.37
29,-3473.07,-3759.15
30,-3449.48,-3748.83
31,-3218.59,-3731.73
32,-3833.37,-3734.90
33,-4204.38,-3749.13
34,-3834.78,-3751.65
35,-3860.53,-3754.76
36,-3491.99,-3747.46
37,-3428.33,-3738.84
38,-3600.66,-3735.20
39,-3386.67,-3726.26
40,-3151.21,-3711.89
41,-3575.44,-3708.56
42,-3326.00,-3699.45
43,-3349.79,-3691.32
44,-3356.08,-3683.70
45,-3641.10,-3682.75
46,-3213.47,-3672.55
47,-3359.47,-3665.89
48,-3549.95,-3663.47
49,-3605.72,-3662.30
50,-3365.26,-3656.36
51,-3078.08,-3645.02
52,-3571.90,-3643.61
53,-2926.29,-3630.08
54,-3100.05,-3620.26
55,-3271.88,-3613.93
56,-3497.36,-3611.84
57,-3162.76,-3603.97
58,-3186.86,-3596.77
59,-3362.31,-3592.80
60,-3238.41,-3586.89
61,-3075.72,-3578.51
62,-3124.57,-3571.19
63,-2960.89,-3561.51
64,-2882.40,-3550.89
65,-2937.81,-3541.46
66,-2717.49,-3528.98
67,-3096.61,-3522.52
68,-2918.32,-3513.64
69,-3164.55,-3508.58
70,-3076.57,-3502.41
71,-2994.96,-3495.26
72,-2802.43,-3485.64
73,-2784.45,-3476.03
74,-2833.17,-3467.35
75,-2733.87,-3457.57
76,-2762.40,-3448.42
77,-2801.17,-3440.01
78,-2869.89,-3432.70
79,-2502.11,-3420.92
80,-2844.64,-3413.72
81,-2961.30,-3408.14
82,-2434.60,-3396.26
83,-2560.81,-3386.20
84,-2931.80,-3380.79
85,-2572.38,-3371.28
86,-3297.41,-3370.42
