Episode,Average Reward
1,-192.5019238175525
2,-183.8599577515764
3,-197.8984679335528
4,-229.40825789496597
5,-190.39379182004967
6,-188.35629360244747
7,-211.40133463076813
8,-205.3312711636848
9,-214.46481453994744
10,-226.19585703582538
11,-212.99399812247657
12,-196.53726324221233
13,-204.15363554146157
14,-241.16804730883237
15,-249.8541342971363
16,-219.64670260482072
17,-221.25910184845998
18,-207.70657603799424
19,-201.03087473815833
20,-189.7799194970125
21,-204.50947066606994
22,-144.53180470421265
23,-190.41669401918148
24,-191.72331831627707
25,-186.41024888983407
26,-188.00573001736237
27,-174.8952351924755
28,-182.0572378046112
29,-157.63486823741255
30,-170.58635803518786
31,-167.38124906127806
32,-196.28718745365262
33,-162.17708389933497
34,-172.84968730348587
35,-168.3984686623401
36,-173.96495886152596
37,-185.3744754339484
38,-170.89089242238973
39,-170.5916277794193
40,-149.7353942767761
41,-163.3911096886074
42,-154.65638137615332
43,-168.40876310369725
44,-146.71346621015067
45,-163.4547246593758
46,-187.9307983462906
47,-184.86053593355734
48,-173.7958540832488
49,-144.1925355634713
50,-140.95751995866098
51,-154.79720415907335
52,-152.16420516894934
53,-168.43965841372682
54,-165.12372671085274
55,-138.50681114233248
56,-134.32117159309456
57,-133.1642965031559
58,-132.09877270744585
59,-144.4423166463177
60,-136.83274170773922
61,-166.15527342005578
62,-144.32775208891675
63,-131.71750715772134
64,-110.72392226974334
65,-164.16140445073896
66,-154.9959108987116
67,-99.81896658320356
68,-108.56302533621457
69,-137.84357149896834
70,-163.37436247902065
71,-125.69394875224563
72,-156.17405172975646
73,-149.50395136236614
74,-134.71291683067489
75,-130.16468211594503
76,-98.07497865412236
77,-97.07499155429154
78,-108.82727591795215
79,-148.65084601176525
80,-113.23544488906302
81,-118.92883206533081
82,-138.74328109982602
83,-113.56941194570202
84,-97.9770084499668
85,-57.22326634800537
86,-97.18569403574675
87,-117.38236871901556
88,-93.02990772423632
89,-96.17584417320182
90,-129.69055959410863
91,-117.4673206040007
92,-115.16270247680195
93,-159.45142595589294
94,-112.39174499412272
95,-108.89659625734828
96,-102.08055319698178
97,-80.08621935908546
98,-103.0283245408536
99,-102.47945093239446
100,-119.27018655639115
101,-119.09031684870953
102,-104.80212198258637
103,-84.04057443254553
104,-143.46781628060884
105,-83.52126346592358
106,-159.759269288418
107,-104.2683468162792
108,-110.38455726599118
109,-92.81506019305496
110,-92.38059669575203
111,-106.85910573199696
112,-79.46379820040025
113,-103.93386627326508
114,-87.82570527942866
115,-101.37462535915253
116,-86.50096499243264
117,-83.63627442125909
118,-76.8610404733692
119,-107.60792562046792
120,-60.98637899501389
121,-106.19235850069613
122,-98.67177136083858
123,-102.98482486940102
124,-96.52863299624241
125,-158.20417019844933
126,-87.7091107614974
127,-83.95523726114371
128,-95.18689676215106
129,-62.46841547067021
130,-85.11492806037305
131,-25.6937498145115
132,-114.9320878219443
133,-65.07909943034552
134,-70.14064994165106
135,-66.8178362909456
136,-50.203876908449715
137,-41.769063711138315
138,-93.18604310338233
139,-62.15156067657904
140,-33.13963178760416
141,-36.4737654884432
142,-53.289260259316464
143,-84.95326901668506
144,-38.18394745716188
145,-89.28261410573842
146,-27.02798385467682
147,-49.864609172905
148,-55.6498619270245
149,-31.464513228533328
150,-58.670892054872
151,-53.283834407160995
152,-40.316174194365274
153,-33.759579251855456
154,-83.24498243411503
155,-87.76735579739709
156,0.3715613712845055
157,-34.57267408600145
158,-13.018949719570383
159,-72.40457389294416
160,-20.52755133501697
161,-24.782763822061725
162,-20.77820779384797
163,8.847918104189569
164,-23.51060474833189
165,-59.2453878696782
166,-15.389323129559225
167,-22.270666736963644
168,-34.0032242070115
169,13.056239029731405
170,-5.11287083734463
171,-24.03112718719931
172,-28.250425365766898
173,-20.028700418934502
174,-9.555321066055242
175,-5.807396492372104
176,-25.72252929045336
177,-12.55719668264623
178,-25.451052375126768
179,-15.470962697064127
180,-28.79871710474353
181,-29.489176480857925
182,-16.34936542438786
183,-22.971968556119744
184,-15.718857393146862
185,-8.79229736808195
186,-35.346956067571696
187,-6.044049622296275
188,-34.248353767016226
189,26.117451151136795
190,-3.612321323586376
191,-14.577121913479905
192,-7.247057694639937
193,-4.140775538348086
194,29.72165613240687
195,-17.312489070774028
196,17.556478060866958
197,13.794148907423017
198,-13.153729205648276
199,1.527071236765049
200,-22.86481920772829
201,-6.914971207100889
202,4.3215999644397325
203,-49.33974380269507
204,4.787874319720172
205,-10.411381394415987
206,12.128899878660722
207,-5.782825590093943
208,-34.05062501681075
209,-13.112284135981202
210,-18.77024199199098
211,-12.139006816422702
212,-20.56374901170134
213,-8.623788524442649
214,-2.2236507293093752
215,15.211892065336547
216,21.718076266831854
217,15.95753570324446
218,-13.18475761708659
219,0.9527506875590419
220,17.77415586313484
221,-2.2187684447000193
222,-3.2611499459053506
223,-27.71270968458528
224,12.445114818194224
225,-10.907632321957193
226,2.929262944705056
227,21.003619979149015
228,-24.693140793870555
229,10.50697731131083
230,-2.3058494423282823
231,-2.6185108283541267
232,1.6690312682442952
233,-9.760191743061409
234,-4.398979966401308
235,2.0347110582409487
236,23.93257793744177
237,-17.203170806858715
238,-20.716315250850208
239,-3.445414860368706
240,5.950377849785763
241,5.387277869278023
242,0.44679597459114573
243,22.94133190743748
244,17.588338860643166
245,7.931421226975982
246,21.232462145200625
247,25.270156557670695
248,5.6620308681523
249,-23.001346282217433
250,22.516411280878934
251,17.06715673516283
252,17.021782690038936
253,16.24854849776998
254,-29.013725595467882
255,17.538446785731352
256,2.798566472100171
257,-9.116571811535174
258,-11.222655261465025
259,4.644994959542472
260,21.948935692196958
261,-9.747511747768067
262,0.41665369362533083
