Episode,Average Reward
1,-164.52610997172758
2,-184.3003503360457
3,-208.72421129625633
4,-174.50467223566835
5,-192.25606587392974
6,-203.30100718872967
7,-279.50585952402145
8,-269.8363021469466
9,-234.56069335893957
10,-233.56942004885187
11,-176.01822152306607
12,-151.76246804637674
13,-218.34834509037944
14,-179.75748250065072
15,-158.86674632764607
16,-190.51944311221314
17,-170.40861826023814
18,-204.64667482740353
19,-167.90208439982325
20,-193.68453464282226
21,-215.9311461650309
22,-201.672952684449
23,-188.1320393331041
24,-183.4322730102848
25,-196.55413880816047
26,-214.05037994454483
27,-190.1326815288503
28,-161.31274821589636
29,-215.01290299233654
30,-172.7571897545464
31,-160.0839812150719
32,-183.64841117003976
33,-164.61126706698224
34,-149.88989763898041
35,-142.32777269243496
36,-151.1670544755019
37,-150.9070763633886
38,-213.8799399721481
39,-147.60820311704853
40,-158.19199199835214
41,-188.57422467436993
42,-174.56031952093912
43,-173.60790427858115
44,-186.07704454938238
45,-156.51758545620427
46,-141.13767257240843
47,-164.68557268361207
48,-171.92490649185797
49,-163.71595686808206
50,-155.49286274809822
51,-148.15993558713132
52,-154.84159408338184
53,-122.86783806165977
54,-161.84878706729523
55,-184.23898976221454
56,-168.06180579699867
57,-170.62532669290863
58,-178.58407740624176
59,-154.54927084715882
60,-130.3813339717231
61,-199.16481518105357
62,-132.89348836982342
63,-176.39229580663232
64,-149.23006929207554
65,-133.29831512083769
66,-193.8921225626335
67,-165.9093209143566
68,-193.24827101115517
69,-141.01831477708723
70,-145.50881618680668
71,-171.2552766827182
72,-169.6549749875213
73,-126.38476318088172
74,-150.05176443194335
75,-136.78390050305563
76,-136.102560951589
77,-151.75415132325816
78,-154.96646375333862
79,-166.6334725619373
80,-145.46687425677865
81,-169.8339200325143
82,-144.27430064335311
83,-152.43856990968908
84,-140.65189389969152
85,-184.0101492408055
86,-167.91623473051308
87,-130.17346519035902
88,-152.43112884216606
89,-118.25224751707103
90,-159.43218710755156
91,-131.4836746485844
92,-143.08503790783902
93,-147.30692596777251
94,-135.01875644604735
95,-119.68850588529679
96,-170.83427113090022
97,-163.21012369981378
98,-121.62147145408954
99,-149.54876681426055
100,-131.54099202180532
101,-174.63695017877276
102,-151.88108814087732
103,-115.36232020735483
104,-112.05058108869855
105,-123.97704671266732
106,-133.0063361196997
107,-134.88938349434568
108,-104.60712943794181
109,-134.92785522360748
110,-108.81976386521794
111,-166.1800974381716
112,-140.5219144215394
113,-99.98633452792167
114,-194.6144825780859
115,-134.34867830219622
116,-144.0484479613311
117,-129.80716806836767
118,-160.52797909363588
119,-110.61027717999711
120,-201.53699909383835
121,-117.53783404175951
122,-141.1797316336554
123,-124.75485376036342
124,-325.64714797464916
125,-221.71120997773744
126,-140.83734232782473
127,-96.43914084452763
128,-140.668801834933
129,-150.49308948585633
130,-155.4914086621321
131,-126.98305114700338
132,-133.43908039635812
133,-138.03988022563328
134,-118.28659785222845
135,-107.84415389310034
136,-144.19618898107672
137,-140.5664450325866
138,-105.10386023338717
139,-145.34964871366225
140,-110.65035723573416
141,-99.87836001900462
142,-134.88597346770052
143,-88.66470859949274
144,-107.91201891014352
145,-144.32221792926273
146,-103.67654665702109
147,-117.22306644242377
148,-117.47088243707172
149,-193.3625119229966
150,-200.32050489717943
151,-145.68302351042297
152,-168.7012083668839
153,-115.52155492052552
154,-149.78906219539158
155,-110.38576108277661
156,-133.6293017709261
157,-100.18941908661863
158,-93.01290408934491
159,-144.9060599381653
160,-189.40361592734126
161,-105.17928373768041
162,-99.93435631307221
163,-105.60478925299996
164,-126.25608847135815
165,-164.6940927723237
166,-130.70178167400712
167,-132.1201791386816
168,-91.74542960383131
169,-106.16657827580346
170,-108.43398185857285
171,-127.8642235502237
172,-132.49559343416217
173,-127.43532491410537
174,-122.17049122037102
175,-231.9059057900829
176,-143.4428624567986
177,-124.25204332297639
178,-167.04532136699362
179,-132.51648972885047
180,-132.263173801794
181,-90.49719201731492
182,-115.79164245201683
183,-106.83735948858788
184,-128.31461949373195
185,-156.20770463778763
186,-80.50065448407743
187,-67.92965538097663
188,-85.34118540283566
189,-95.77401252325996
190,-105.68401902934336
191,-109.83637739662652
192,-114.03354750948479
193,-96.50721939813658
194,-93.84059517618752
195,-103.09712214343458
196,-83.2684700996733
197,-100.74227291137589
198,-82.02424383710606
199,-103.9992011808947
200,-100.46029371210517
201,-108.10506392454482
202,-97.01025046762028
203,-125.97477643180905
