Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
-120.19779144306042,-152.5769186112605,-278.4799836308252,45.47902729760234,89.55075421696863
-66.22913562490953,-146.56547260385446,-281.94817984069357,-7.397589160998483,63.30359824347059
-69.32042108827368,-133.40257914814424,-196.49211663317843,129.70744339292952,271.36548033308935
-65.22279709016028,-133.27301426425967,-206.14055809899466,49.43428725889895,182.33871176450842
-61.77285154942623,-198.20172527033796,-216.17354300164692,177.94752275986244,233.10584846369676
-144.71454077760242,-187.84017780054765,-248.2909143990792,25.608062230606684,193.21470128190185
-77.87506469672437,-153.75582253846528,-202.1713062917581,113.73055004978634,217.43388680207656
-76.64695914977891,-152.55667791096445,-185.37927337146712,52.629684928829114,238.03940639307274
-74.82982057534882,-178.73020239350674,-152.29979842215445,37.840782270947315,264.12800015082286
-101.59439491651972,-115.56726069358325,-132.0020907104327,187.47720107963883,205.92613576184468
-79.92498882127406,-216.22962409560157,-135.72903556718668,75.81963597521063,238.51098876719223
-92.38787718348868,-163.57653850509925,-193.41604877462808,15.947817834205532,137.2057072806195
-84.01581424590705,-109.19688251844818,-208.03494503421976,88.75787859656513,235.54314755421373
-55.47272889824758,-211.40002169565003,-194.17717663015918,129.55954960442702,220.13704393481154
-114.14982299828695,-184.49597126847493,-181.135851879288,169.76773950989212,139.99778560110028
-59.23509055162439,-164.50528612452257,-130.2973539277235,238.7603850797622,180.55854067276528
-66.7075388542422,-175.8755820534314,-158.62320059783622,163.4264649322623,212.21550238652438
-112.48193222875834,-172.0706446935513,-206.29192241207943,98.2202637399088,272.4685996584837
-37.63747093762158,-169.3608544354512,-251.4143477187731,43.14288800346598,274.0176582595454
-115.42235383068883,-180.13357560448998,-171.69892966437737,164.8662418482975,202.24511515658617
-71.60938964339367,-159.07194572469461,-216.6917489596919,158.10978966498564,241.48668933251832
-64.14151408779405,-138.93111908375954,-203.64077356559318,178.16217100504792,199.51425327023833
-53.73345716736885,-178.30558557220914,-173.4459793841071,103.46291913068869,173.4094565407296
-87.8877971024701,-186.79680593282123,-225.3623245214776,231.76520247688202,205.49574166665576
-44.209211861620695,-156.74709706807246,-249.29326171623785,112.71511447242415,210.27919429787303
-51.590675429238175,-178.83576366370554,-193.72849788625567,113.80269001813727,232.99743347574147
-59.09768401322301,-149.42597080526278,-211.4467973216373,43.089806497611036,232.88706011879438
-92.19207141469624,-194.81456430558046,-175.88932394247686,102.91232950669442,212.53774775176953
-76.24302634775945,-216.30896667710292,-147.60615433256285,179.379388582391,179.03193165309494
-131.2054932588283,-119.87678127202453,-151.65046257970826,27.933549922518694,259.9393444074437
-53.994822370885885,-189.84669585055403,-150.21812235996651,152.33709209221675,163.12826152345536
-89.77323623245137,-130.20518016926172,-196.27761540028587,105.8669907263794,266.4275542352098
-71.23674659610008,-153.2860286346831,-190.50241402254827,143.2253035841671,95.06510533130586
-60.62236529509139,-152.5832751454307,-140.31791828456,129.57599412241262,193.72731649118808
-95.23442797777514,-230.17895333210254,-154.99638727859613,51.12365464370027,258.0443451096924
-89.1944513495863,-119.34369632935193,-154.85113289346828,236.06732484936956,257.9092114787209
-60.94405693285538,-143.4701185964243,-148.5263141097375,76.92983080391839,257.9490522171669
-67.83656775315198,-153.84036822340477,-194.78169236769273,117.29254955440828,226.28046922244167
-63.147371813884845,-110.65746208498577,-185.9709239182438,138.64483343695707,184.89563590695766
-70.87919491183293,-141.7867899770145,-196.35240939904676,173.28130556080419,215.03321103534958
-39.81711806867607,-145.38956016352833,-186.68842980267203,255.64488695091978,264.858501745991
-50.14545419309386,-117.30587063873593,-192.09155976458757,123.34067021312084,149.63976902942636
-58.92581233659096,-150.49573939424383,-184.73307998785958,220.23061904645306,261.7064029765761
-46.98874935676614,-159.58477608084732,-148.66325787466084,240.11837638454278,184.0891514648466
-106.22808818313494,-163.25755713719028,-219.71518971526936,165.62247356970693,257.8097154376463
-39.701742393704954,-157.2968574058253,-181.25348231214235,117.56965905287738,268.3177792426205
-49.583908191814785,-190.617487474004,-181.04818617889737,39.192930618046766,267.73255518802796
-60.100686803194186,-136.87764840994524,-170.69039849769828,113.94099586188585,219.1528818134474
-83.25674494328256,-202.66982029730835,-163.9553934433096,261.20237559113787,210.2875829149613
-117.91928462677349,-144.03498437253177,-171.69246405330952,58.04569820301236,128.9023158361271
-75.12967607792872,-121.87417790194726,-147.5124229146777,175.83124007874275,192.6244084144118
-114.66070889653582,-130.20049681386928,-191.13386392391152,183.45384966011207,200.48431300212462
-76.35133590007864,-132.83639850857173,-186.26822786358161,220.7251183277536,235.375343337782
-66.10666810613009,-101.95625494970687,-138.2688764573246,17.91539687152613,259.5022746911657
-93.07529708251535,-185.9876871827864,-160.49096967635217,85.49247489604984,183.80835396155032
-27.102997127696078,-200.8914558010653,-160.7143988884967,55.64146733015771,267.50596380719435
-165.37245679241704,-141.25093822998525,-184.291379437514,169.43873885548118,227.6248256444802
-68.68591474465562,-139.16222804415804,-193.5822217610346,68.41671679604849,272.31861367168625
-173.00103365103055,-126.9919075156422,-167.0882368161823,95.75668487629943,268.50574804804893
-18.792431479880776,-125.46562898115273,-229.82792297151866,119.4431373050191,211.52390350531982
-104.63932402286436,-135.16872546806928,-193.06314459251823,157.12651756971624,264.62642286718875
-62.32617365779114,-101.10451658942024,-181.45678051532144,247.6419855616456,173.30494552756994
-40.061627628527006,-116.2871994349281,-199.07173937969114,197.1618033125678,266.8491444647377
-31.30819281060643,-166.55322084727123,-214.2835280781371,221.67894948475376,270.2536707674833
-99.45645531267056,-186.42904095079768,-134.73843722764687,118.63583867829986,236.0643067273823
-46.6262658673433,-133.754630389536,-201.49563978683167,147.21927487524195,239.42101460626424
-30.258720031346638,-179.63370556972095,-187.44773615148048,247.047145451262,239.16379561696027
-24.191660476499827,-168.81505615952605,-216.907116158099,132.62346674089946,266.1965238297253
-94.54022648469135,-164.15473478518385,-230.13282462150855,248.98850918578827,223.5335269760687
-96.76121968698895,-180.2892656028738,-182.64079522703435,107.3579674089771,213.7697646849936
6.86885403853977,-129.72258834752108,-259.52906849099924,189.75289992583322,254.85547696511844
-40.49589761815556,-117.02220389288154,-290.6465331256094,175.09583306906924,218.53063995779127
-99.5496248106258,-165.4290475208271,-178.27314420494983,256.22585857764597,201.67227268228206
-38.92213863383661,-119.67628246489316,-169.27133839383,152.0169465592895,280.87091282901537
-37.747311364775186,-217.7204389146335,-186.52364543268948,59.89471390236263,258.63097784038274
-40.351209165906724,-135.96074812681817,-202.01493333193832,161.03433862619826,269.8274385550191
-32.652018054493645,-172.03930750767822,-156.33428658831411,72.65931825738055,276.837046681464
-96.18621395142578,-123.04925693878056,-208.77030966791932,179.68561697347172,235.2276094428833
-50.98169321434472,-99.63478573525818,-185.38109584892828,100.97325573651719,243.36947540323547
-118.1990921374005,-154.24100859492566,-175.2244257457449,173.30280973007214,225.56075803269187
-24.31478395369162,-136.906318589392,-261.8005647305425,158.11875656063557,242.90801088098397
-55.91976860273868,-104.44992004991317,-263.31007346994386,168.58343074885673,265.2698866649437
13.330116541301651,-137.47768982377576,-208.99467357067098,174.68043952296182,278.1246970173921
-77.27628431350004,-152.74552529826695,-262.63173528349927,165.00318504191293,241.63450581905977
-117.34949748269267,-139.18568715511998,-289.7114518072478,182.42335784858912,260.24170234222026
-39.94979580547117,-148.6783556662663,-256.36247009852667,224.58063474203712,203.1829125263835
-23.08337094043512,-95.50818909387479,-223.94094170486986,122.66107562783486,249.62331536027372
-14.751534806603416,-114.01357253602163,-214.5358158321059,136.63266972167088,233.60464279945018
-92.14813124463208,-135.48178936692415,-158.50852382812687,132.7270606610247,255.64536365161413
-22.67823692094444,-173.78879512951417,-159.72431437994925,201.49560172933192,269.40240423826333
5.57571646594749,-166.50756529128967,-144.0450651927579,170.73762479274157,222.18098352857433
-52.483590218261014,-148.68859770067374,-139.167498870696,147.6801141647134,232.31667875979727
-8.752877705162415,-137.54734013183665,-124.370807519909,206.3664274751382,170.46690860777298
-4.0856296395619776,-140.48827975038355,-173.63800931571768,188.42274699512555,256.13995449889114
-62.622218219050836,-131.9699251095291,-149.10585003830695,132.3501364874773,239.6580112201711
-70.71099742571673,-169.62265958009561,-251.04624586698148,106.47569359941298,269.89747786229367
-76.24006015678304,-111.33929033843572,-202.60280032463518,236.5206196130517,266.2435876111969
-2.3646011376425626,-168.81241519555581,-188.0583733555165,236.10361543286368,208.46755793166534
-114.58047516779084,-158.22708194844404,-186.0339676966811,263.8832573639049,280.06718089920577
-82.54103569674041,-173.69996583602938,-160.9758357590131,229.4296083608578,269.029971419775
-92.59149371410477,-203.86772612548285,-172.14547064054184,91.13429993031731,232.40176257247273
-97.87896158503274,-177.75995735288978,-161.31693066019565,259.3373703225101,265.31071320426486
-75.0560569887945,-126.14771524825424,-190.87982303488357,210.36811134883865,195.7083162835945
-28.75676285569005,-149.19314279977038,-202.674690322301,68.21293970283466,266.8287972172509
-70.00577727196932,-195.02578483380177,-218.53484242800636,208.45942024654232,218.99370797991
-15.432150821291476,-160.09053993259633,-226.2485882453416,190.42252811429364,234.57372568264813
-74.41641558951221,-110.93754189797868,-147.1123466280354,189.50747463607493,252.70350794043614
-142.8562907934674,-211.93990281677407,-185.1357952394966,214.85214722873462,276.3422828821631
-54.71146555420099,-142.8602609673565,-218.41413736713287,154.30547688174778,263.76365547506924
-90.98464053022686,-119.12178304113452,-158.05256008965142,128.84797036984733,281.649922074697
-29.176697137128848,-195.5644848497785,-207.48393571341427,133.08663313197053,243.7421812607313
-37.950303243752934,-93.1955307926865,-205.8220894385991,176.56975952636108,281.3056754579952
-13.775621807900762,-134.80733114288282,-188.5466517838432,222.43400092408436,246.9075636799858
-126.62321341996939,-172.30305657887286,-163.31904795322677,182.00133771294733,235.82457579220008
-11.83875330438018,-118.5216158660903,-137.6051492385008,223.62808534502378,275.70277079204936
-59.45760454210029,-138.38808300239978,-163.06457844741166,147.59682034275755,284.0051406607889
-35.84806524599712,-166.99431390531723,-215.9605593850621,185.47633381946736,270.3900463212732
-95.33781262832862,-124.65648591548036,-217.44650341585162,209.56513836080237,230.0742519134125
-21.009541318349054,-150.86732281906947,-270.35167387433705,227.25841978933764,215.81454183682095
-29.695352141853817,-129.1182850690201,-245.33226947177477,239.31026615834662,273.24593465582177
-26.61814500652126,-155.92078117503286,-242.27460912397328,176.44074802068644,250.8331972413581
-67.41602740410134,-173.2487053653763,-192.9638765361797,186.3028515119116,194.90591397100792
-32.292027595819306,-136.09430364854256,-238.6029867418871,198.01475389098147,275.75510052864564
-20.35102710111045,-164.52899390155403,-176.10601278121817,196.0052299324091,253.01885168208238
-31.790666221711053,-117.0858262878873,-290.2687905951551,236.46718254177793,250.8379954923833
11.869656696901924,-153.13821118416018,-313.94666326888006,235.43676263071742,208.71761435712182
20.65264973445654,-97.3401754478259,-318.19586896589834,131.2003141766099,292.1939297571721
1.4193117424083246,-152.6802123158695,-240.2053086978192,216.91247225761273,276.98896885670325
-34.346027017373224,-144.35827299931242,-216.44119981882494,141.82028316650056,220.8594037100178
-20.564312949674633,-137.3319188664721,-191.7215163690241,241.35665001701136,195.6241421727113
-44.82356724456266,-138.75611703692448,-165.38873317261732,196.81030065633215,226.6640821871552
20.34640849852744,-110.2203324853111,-185.32176184566373,96.31345118668396,284.10152347327255
12.547983806272034,-107.99070458022638,-162.55842439962558,208.89183569509177,256.4904410443374
-34.31477683763326,-139.60791241769815,-210.10175998075346,155.50686122213136,209.71743998116335
3.697059266004988,-102.06136107695775,-224.36369199670816,144.23070492560012,262.39067271571236
8.629679133795285,-84.64725546167604,-242.17247910450573,147.93010278430552,261.5493303395531
-17.716513052012804,-144.90364639558743,-203.21081166493389,156.86611258172238,264.57404239029455
-87.45583872578715,-128.99506013888106,-206.82965201084033,216.171375253424,273.86306457656895
-7.788048552539601,-100.46203018649511,-204.4549313124118,234.93920513080613,266.8430190100071
-81.19289859460525,-145.72836684497642,-206.78153270060884,202.7971430144871,253.63296862997504
-61.30034381106726,-112.0847012321056,-229.34775563655728,147.12837353924232,275.1606604760256
-4.820044521570791,-109.34132808024106,-161.76759232464713,223.05439730233365,246.37051559012414
8.976624529665553,-124.82046215928781,-184.53018443350007,104.97971351812295,223.68422471518437
-93.70053281353879,-92.57862506525217,-225.33320148809486,184.283174694198,258.0462469554347
-38.492238216786525,-126.55980785194019,-224.56995723290018,155.03274724729835,213.96070833987307
-55.333451154793664,-101.47634309917028,-158.7979039481078,179.26416411212537,184.08308231637793
-2.464173768146841,-148.54231810222558,-274.1886341425448,221.859016182055,280.11983410661304
-8.583893322263998,-106.97226215133908,-208.2749697126125,140.93583401009354,227.3602247812988
9.137354502869185,-120.33110839762371,-181.39552839077976,161.74010785141027,275.2806676439902
-14.540823947974904,-136.4006364244736,-161.01011604185743,103.23411564428005,280.1914841392419
16.431498407883502,-103.03832477032732,-162.13723007780254,229.19806622897624,267.54068851310126
0.598720759279081,-83.06843825130869,-151.8318733365568,113.16534668045539,237.16265289141356
17.73438555039434,-96.58004133381726,-187.55673131287816,213.72518116932147,252.7049148376665
-8.577208897040574,-148.0462571205089,-133.0484921319589,206.62726890769656,277.3888938312514
18.561523176155834,-218.7071219887232,-153.61356591446528,171.66358017502722,242.4810769559065
-17.94374737243561,-121.63913140145878,-164.72507375543523,129.1806204681332,263.8452258743284
-12.770961781809236,-101.72464611634808,-160.42040849451158,159.12673825014875,230.50628436833898
0.25399594022270744,-151.06847376267805,-210.87127665296336,263.39916829104465,247.78471846986395
-5.232201173968466,-126.93329436992214,-162.60339002134842,161.86807376376893,230.41435207556322
-16.303113067889534,-99.77317077122588,-132.48704441182198,207.65470336245102,258.28417354165373
37.57847822150033,-92.82667252265713,-152.61806694803738,190.85056606856148,288.7090622889528
-82.26892668398824,-106.86657395901014,-147.25237700291584,223.28019286345483,235.5027396763783
-29.332724894069788,-160.98578442770653,-134.13627775467333,183.11266180414114,259.92529285117735
-85.26097995186487,-129.4113716355399,-218.51190754827886,194.94695045990912,261.0759554559843
-33.820635972125544,-94.39780810997313,-200.92857226147441,136.52719414218507,228.68405029930352
-187.9370987454747,-152.3061554749572,-179.6701808219788,256.42282320958674,269.61719529982634
