Episode,Average Reward
1,-241.15649288631124
2,-197.11953485920554
3,-209.0287062165621
4,-194.5582371287927
5,-249.33239251556424
6,-201.14766935999415
7,-288.64458296350705
8,-270.68249630708726
9,-308.5922824434599
10,-182.18283891303835
