Update,Timestep,Rolling_Avg_Reward
0,2048,-191.95
1,4096,-183.60
2,6144,-183.48
3,8192,-187.05
4,10240,-189.46
5,12288,-192.26
6,14336,-197.91
7,16384,-196.78
8,18432,-199.73
9,20480,-195.21
10,22528,-192.92
11,24576,-193.50
12,26624,-196.33
13,28672,-200.31
14,30720,-198.47
15,32768,-199.21
16,34816,-193.52
17,36864,-187.85
18,38912,-188.31
19,40960,-187.60
20,43008,-182.21
21,45056,-179.76
22,47104,-176.82
23,49152,-175.51
24,51200,-176.10
25,53248,-179.70
26,55296,-179.32
27,57344,-176.82
28,59392,-174.24
29,61440,-172.04
30,63488,-167.75
31,65536,-164.18
32,67584,-159.83
33,69632,-158.74
34,71680,-159.98
35,73728,-154.36
36,75776,-152.46
37,77824,-151.19
38,79872,-147.06
39,81920,-144.33
40,83968,-144.10
41,86016,-147.00
42,88064,-146.36
43,90112,-146.32
44,92160,-145.95
45,94208,-145.58
46,96256,-142.65
47,98304,-137.64
48,100352,-136.30
49,102400,-130.72
50,104448,-125.60
51,106496,-119.56
52,108544,-117.98
53,110592,-117.27
54,112640,-117.76
55,114688,-115.01
56,116736,-112.76
57,118784,-109.75
58,120832,-109.24
59,122880,-107.55
60,124928,-105.82
61,126976,-106.20
62,129024,-106.05
63,131072,-106.60
64,133120,-105.32
65,135168,-106.44
66,137216,-107.65
67,139264,-109.25
68,141312,-107.56
69,143360,-105.81
70,145408,-104.22
71,147456,-97.73
72,149504,-95.34
73,151552,-93.02
74,153600,-85.67
75,155648,-82.42
76,157696,-82.81
77,159744,-81.24
78,161792,-79.68
79,163840,-78.93
80,165888,-78.23
81,167936,-73.91
82,169984,-73.85
83,172032,-71.92
84,174080,-73.56
85,176128,-73.55
86,178176,-72.34
87,180224,-74.48
88,182272,-78.58
89,184320,-78.16
90,186368,-78.31
91,188416,-81.94
92,190464,-82.23
93,192512,-80.96
94,194560,-78.36
95,196608,-73.11
96,198656,-69.25
97,200704,-67.61
98,202752,-60.67
99,204800,-54.45
100,206848,-52.18
101,208896,-47.93
102,210944,-47.92
103,212992,-44.79
104,215040,-43.78
105,217088,-42.30
106,219136,-42.52
107,221184,-42.30
108,223232,-40.76
109,225280,-42.83
110,227328,-44.19
111,229376,-41.87
112,231424,-39.99
113,233472,-41.41
114,235520,-40.46
115,237568,-39.38
116,239616,-38.64
117,241664,-41.25
118,243712,-41.18
119,245760,-43.65
120,247808,-41.55
121,249856,-40.98
122,251904,-41.48
123,253952,-41.04
124,256000,-39.16
125,258048,-36.05
126,260096,-35.75
127,262144,-30.61
128,264192,-31.96
129,266240,-30.56
130,268288,-29.74
131,270336,-28.56
132,272384,-26.21
133,274432,-25.66
134,276480,-24.77
135,278528,-23.47
136,280576,-21.58
137,282624,-21.80
138,284672,-20.28
139,286720,-17.47
140,288768,-18.22
141,290816,-15.00
142,292864,-14.97
143,294912,-15.17
144,296960,-14.59
145,299008,-16.95
146,301056,-19.10
147,303104,-20.35
148,305152,-19.26
149,307200,-19.07
150,309248,-19.80
151,311296,-18.61
152,313344,-14.99
153,315392,-15.63
154,317440,-14.79
155,319488,-10.43
156,321536,-8.88
157,323584,-7.76
158,325632,-10.36
159,327680,-8.29
160,329728,-5.05
161,331776,-3.52
162,333824,-2.16
163,335872,-0.63
164,337920,1.67
165,339968,2.20
166,342016,3.11
167,344064,2.39
168,346112,7.23
169,348160,8.49
170,350208,8.95
171,352256,6.57
172,354304,7.17
173,356352,8.80
174,358400,10.28
175,360448,11.56
176,362496,12.88
177,364544,11.83
178,366592,14.78
179,368640,17.51
180,370688,18.52
181,372736,18.34
182,374784,16.73
183,376832,16.44
184,378880,13.63
185,380928,14.44
186,382976,16.01
187,385024,15.34
188,387072,16.30
189,389120,18.44
190,391168,19.18
191,393216,20.59
192,395264,19.51
193,397312,19.88
194,399360,19.83
195,401408,22.31
196,403456,23.86
197,405504,22.91
198,407552,24.48
199,409600,22.73
200,411648,23.24
201,413696,25.33
202,415744,27.10
203,417792,26.23
204,419840,26.08
205,421888,27.16
206,423936,26.30
207,425984,27.44
208,428032,27.78
209,430080,26.61
210,432128,27.38
211,434176,29.38
212,436224,30.18
213,438272,30.85
214,440320,33.99
215,442368,35.65
216,444416,35.21
217,446464,36.73
218,448512,38.16
219,450560,40.10
220,452608,41.16
221,454656,42.97
222,456704,44.09
223,458752,43.90
224,460800,45.11
225,462848,44.92
226,464896,47.87
227,466944,49.84
228,468992,49.80
229,471040,51.80
230,473088,55.30
231,475136,54.94
232,477184,55.12
233,479232,53.39
234,481280,54.92
235,483328,52.78
236,485376,54.07
237,487424,52.03
238,489472,50.82
239,491520,51.68
240,493568,50.53
241,495616,50.06
242,497664,47.19
243,499712,45.62
244,501760,43.14
245,503808,38.31
246,505856,36.85
247,507904,37.41
248,509952,36.22
249,512000,34.20
250,514048,32.37
251,516096,29.08
252,518144,27.36
253,520192,24.13
254,522240,25.72
255,524288,27.08
256,526336,27.64
257,528384,29.18
258,530432,31.61
259,532480,35.59
260,534528,35.41
261,536576,37.38
262,538624,38.08
263,540672,40.94
264,542720,43.09
265,544768,44.17
266,546816,47.16
267,548864,47.56
268,550912,51.55
269,552960,50.91
270,555008,51.88
271,557056,52.14
272,559104,52.19
273,561152,52.44
274,563200,51.45
275,565248,51.50
276,567296,51.99
277,569344,52.79
278,571392,52.86
279,573440,52.45
280,575488,53.17
281,577536,52.07
282,579584,52.01
283,581632,50.75
284,583680,50.42
285,585728,51.87
286,587776,52.01
287,589824,52.42
288,591872,53.62
289,593920,54.26
290,595968,55.96
291,598016,57.71
292,600064,56.15
293,602112,56.28
294,604160,59.00
295,606208,60.66
296,608256,58.86
297,610304,59.35
298,612352,59.85
299,614400,61.61
300,616448,61.86
301,618496,63.79
302,620544,65.09
303,622592,65.64
304,624640,68.91
305,626688,69.70
306,628736,69.30
307,630784,70.74
308,632832,71.02
309,634880,71.11
310,636928,68.48
311,638976,68.59
312,641024,69.58
313,643072,69.33
314,645120,69.13
315,647168,69.64
316,649216,71.58
317,651264,71.85
318,653312,73.49
319,655360,76.97
320,657408,76.24
321,659456,76.45
322,661504,76.91
323,663552,75.51
324,665600,72.77
325,667648,72.76
326,669696,73.42
327,671744,74.41
328,673792,74.23
329,675840,74.97
330,677888,75.51
331,679936,74.98
332,681984,74.46
333,684032,75.23
334,686080,76.11
335,688128,75.86
336,690176,76.06
337,692224,76.11
338,694272,75.05
339,696320,74.33
340,698368,74.83
341,700416,75.54
342,702464,74.65
343,704512,75.63
344,706560,76.33
345,708608,75.07
346,710656,76.84
347,712704,76.34
348,714752,78.30
349,716800,79.66
350,718848,80.74
351,720896,81.46
352,722944,82.79
353,724992,83.18
354,727040,84.31
355,729088,86.61
356,731136,87.30
357,733184,87.49
358,735232,89.86
359,737280,89.23
360,739328,88.35
361,741376,88.45
362,743424,90.06
363,745472,89.51
364,747520,92.00
365,749568,93.16
366,751616,93.17
367,753664,93.81
368,755712,94.05
369,757760,93.43
370,759808,93.53
371,761856,94.62
372,763904,92.73
373,765952,92.52
374,768000,91.86
375,770048,92.51
376,772096,91.73
377,774144,89.71
378,776192,88.35
379,778240,88.46
380,780288,86.79
381,782336,87.22
382,784384,85.46
383,786432,87.35
384,788480,88.17
385,790528,89.23
386,792576,89.33
387,794624,89.92
388,796672,90.10
389,798720,91.95
390,800768,90.59
391,802816,91.39
392,804864,92.68
393,806912,93.04
394,808960,91.17
395,811008,89.86
396,813056,88.41
397,815104,89.07
398,817152,88.55
399,819200,87.25
400,821248,87.80
401,823296,86.99
402,825344,86.11
403,827392,89.90
404,829440,93.18
405,831488,94.82
406,833536,96.40
407,835584,97.03
408,837632,96.76
409,839680,96.93
410,841728,96.10
411,843776,95.87
412,845824,95.55
413,847872,97.54
414,849920,96.68
415,851968,97.98
416,854016,98.69
417,856064,97.49
418,858112,97.12
419,860160,98.09
420,862208,99.25
421,864256,100.46
422,866304,101.00
423,868352,102.76
424,870400,102.30
425,872448,104.66
426,874496,105.01
427,876544,105.04
428,878592,106.35
429,880640,106.67
430,882688,107.21
431,884736,107.74
432,886784,108.71
433,888832,108.68
434,890880,108.94
435,892928,110.72
436,894976,112.39
437,897024,112.05
438,899072,111.61
439,901120,111.57
440,903168,113.18
441,905216,114.81
442,907264,115.91
443,909312,116.76
444,911360,117.18
445,913408,115.55
446,915456,113.13
447,917504,111.59
448,919552,112.88
449,921600,112.52
450,923648,111.53
451,925696,110.39
452,927744,108.78
453,929792,108.18
454,931840,106.44
455,933888,105.97
456,935936,105.92
457,937984,107.26
458,940032,106.15
459,942080,105.10
460,944128,104.62
461,946176,105.53
462,948224,105.98
463,950272,105.75
464,952320,106.69
465,954368,105.00
466,956416,105.22
467,958464,105.56
468,960512,105.39
469,962560,106.51
470,964608,109.08
471,966656,109.52
472,968704,109.66
473,970752,110.10
474,972800,113.06
475,974848,112.88
476,976896,113.69
477,978944,114.98
478,980992,115.28
479,983040,113.73
480,985088,111.17
481,987136,111.37
482,989184,114.81
483,991232,116.41
484,993280,115.71
485,995328,116.69
486,997376,116.12
487,999424,117.29
488,1001472,117.28
489,1003520,118.25
490,1005568,119.55
491,1007616,121.10
492,1009664,122.21
493,1011712,122.69
494,1013760,121.83
495,1015808,121.88
496,1017856,121.70
497,1019904,122.91
498,1021952,121.44
