Update,Timestep,Rolling_Avg_Reward
0,2048,-172.91
1,4096,-186.94
2,6144,-190.72
3,8192,-189.54
4,10240,-196.00
5,12288,-196.10
6,14336,-200.31
7,16384,-199.71
8,18432,-192.74
9,20480,-196.80
10,22528,-206.47
11,24576,-219.76
12,26624,-227.26
13,28672,-228.17
14,30720,-228.14
15,32768,-234.33
16,34816,-222.76
17,36864,-216.57
18,38912,-213.08
19,40960,-219.70
20,43008,-228.10
21,45056,-219.26
22,47104,-211.42
23,49152,-213.20
24,51200,-212.44
25,53248,-210.89
26,55296,-204.04
27,57344,-208.91
28,59392,-216.43
29,61440,-208.21
30,63488,-203.26
31,65536,-205.26
32,67584,-215.46
33,69632,-215.17
34,71680,-218.86
35,73728,-216.29
36,75776,-213.49
37,77824,-224.08
38,79872,-218.55
39,81920,-236.07
40,83968,-239.45
41,86016,-244.64
42,88064,-227.85
43,90112,-214.51
44,92160,-186.87
45,94208,-169.06
46,96256,-162.64
47,98304,-161.69
48,100352,-155.84
49,102400,-158.17
50,104448,-159.38
51,106496,-160.15
52,108544,-171.96
53,110592,-179.25
54,112640,-179.16
55,114688,-177.39
56,116736,-185.40
57,118784,-183.61
58,120832,-179.89
59,122880,-174.93
60,124928,-173.55
61,126976,-173.45
62,129024,-163.78
63,131072,-153.99
64,133120,-153.51
65,135168,-158.44
66,137216,-157.39
67,139264,-163.05
68,141312,-150.22
69,143360,-147.15
70,145408,-156.96
71,147456,-173.65
72,149504,-180.73
73,151552,-185.87
74,153600,-190.15
75,155648,-182.86
76,157696,-162.61
77,159744,-160.63
78,161792,-155.56
79,163840,-145.34
80,165888,-147.01
81,167936,-142.33
82,169984,-140.60
83,172032,-141.76
84,174080,-145.98
85,176128,-149.11
86,178176,-149.78
87,180224,-144.28
88,182272,-142.43
89,184320,-142.53
90,186368,-135.64
91,188416,-130.45
92,190464,-128.89
93,192512,-129.50
94,194560,-131.55
95,196608,-131.92
96,198656,-137.62
97,200704,-135.89
98,202752,-133.56
99,204800,-136.59
100,206848,-133.78
101,208896,-134.86
102,210944,-135.10
103,212992,-136.13
104,215040,-140.51
105,217088,-139.46
106,219136,-142.23
107,221184,-134.14
108,223232,-135.20
109,225280,-127.87
110,227328,-122.78
111,229376,-120.56
112,231424,-119.87
113,233472,-114.75
114,235520,-112.87
115,237568,-113.08
116,239616,-106.86
117,241664,-104.62
118,243712,-101.38
119,245760,-102.43
120,247808,-100.18
121,249856,-101.87
122,251904,-103.73
123,253952,-101.48
124,256000,-104.52
125,258048,-109.82
126,260096,-111.44
127,262144,-109.08
128,264192,-102.94
129,266240,-101.70
130,268288,-99.32
131,270336,-103.01
132,272384,-98.62
133,274432,-90.20
134,276480,-88.43
135,278528,-82.66
136,280576,-86.37
137,282624,-80.96
138,284672,-81.19
139,286720,-76.87
140,288768,-77.77
141,290816,-77.55
142,292864,-75.62
143,294912,-79.96
144,296960,-78.97
145,299008,-81.41
146,301056,-78.82
147,303104,-73.20
148,305152,-72.64
149,307200,-71.66
150,309248,-73.46
151,311296,-68.92
152,313344,-66.80
153,315392,-66.54
154,317440,-63.83
155,319488,-64.85
156,321536,-63.83
157,323584,-62.47
158,325632,-59.95
159,327680,-59.23
160,329728,-61.21
161,331776,-63.41
162,333824,-67.49
163,335872,-71.46
164,337920,-73.06
165,339968,-73.15
166,342016,-75.82
167,344064,-74.60
168,346112,-75.71
169,348160,-75.23
170,350208,-74.96
171,352256,-67.53
172,354304,-66.47
173,356352,-65.42
174,358400,-63.83
175,360448,-58.94
176,362496,-59.12
177,364544,-56.57
178,366592,-57.52
179,368640,-56.28
180,370688,-53.51
181,372736,-53.51
182,374784,-52.07
183,376832,-52.01
184,378880,-54.99
185,380928,-55.60
186,382976,-56.58
187,385024,-58.01
188,387072,-57.09
189,389120,-56.29
190,391168,-58.04
191,393216,-59.93
192,395264,-64.25
193,397312,-65.80
194,399360,-69.74
195,401408,-70.08
196,403456,-67.70
197,405504,-68.81
198,407552,-67.73
199,409600,-65.72
200,411648,-65.76
201,413696,-67.95
202,415744,-68.04
203,417792,-68.26
204,419840,-64.67
205,421888,-61.11
206,423936,-62.86
207,425984,-64.36
208,428032,-66.39
209,430080,-65.67
210,432128,-66.95
211,434176,-64.99
212,436224,-64.90
213,438272,-60.19
214,440320,-59.14
215,442368,-60.10
216,444416,-58.38
217,446464,-57.41
218,448512,-52.86
219,450560,-51.89
220,452608,-51.73
221,454656,-50.83
222,456704,-51.07
223,458752,-47.54
224,460800,-44.13
225,462848,-42.98
226,464896,-44.45
227,466944,-45.87
228,468992,-45.20
229,471040,-43.89
230,473088,-45.12
231,475136,-44.37
232,477184,-42.21
233,479232,-41.94
234,481280,-40.54
235,483328,-39.25
236,485376,-38.53
237,487424,-39.51
238,489472,-39.79
239,491520,-40.94
240,493568,-41.10
241,495616,-41.47
242,497664,-43.00
243,499712,-43.55
244,501760,-42.51
245,503808,-40.54
246,505856,-40.04
247,507904,-39.32
248,509952,-37.82
249,512000,-38.74
250,514048,-37.68
251,516096,-37.31
252,518144,-36.41
253,520192,-35.46
254,522240,-34.58
255,524288,-31.23
256,526336,-28.58
257,528384,-27.19
258,530432,-24.28
259,532480,-24.13
260,534528,-22.40
261,536576,-24.01
262,538624,-24.40
263,540672,-26.37
264,542720,-25.86
265,544768,-25.13
266,546816,-24.84
267,548864,-23.53
268,550912,-19.93
269,552960,-17.88
270,555008,-21.73
271,557056,-20.93
272,559104,-21.98
273,561152,-23.03
274,563200,-23.06
275,565248,-22.92
276,567296,-24.35
277,569344,-25.94
278,571392,-28.22
279,573440,-28.57
280,575488,-30.46
281,577536,-31.26
282,579584,-30.69
283,581632,-32.56
